 Total leads: 616412
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Groudon-Primal     | 10.97610% | 67658  | 10.976% | 
 | 2    | Yveltal            |  3.87160% | 23865  |  3.872% | 
 | 3    | Xerneas            |  3.05591% | 18837  |  3.056% | 
 | 4    | Deoxys-Speed       |  2.79131% | 17206  |  2.791% | 
 | 5    | Smeargle           |  2.35281% | 14503  |  2.353% | 
 | 6    | Kyogre-Primal      |  2.32085% | 14306  |  2.321% | 
 | 7    | Shuckle            |  1.85509% | 11435  |  1.855% | 
 | 8    | Necrozma-Dusk-Mane |  1.73261% | 10680  |  1.733% | 
 | 9    | Darkrai            |  1.54069% | 9497   |  1.541% | 
 | 10   | Marshadow          |  1.52220% | 9383   |  1.522% | 
 | 11   | Rayquaza           |  1.36516% | 8415   |  1.365% | 
 | 12   | Ferrothorn         |  1.36467% | 8412   |  1.365% | 
 | 13   | Deoxys-Attack      |  1.33725% | 8243   |  1.337% | 
 | 14   | Arceus             |  1.18541% | 7307   |  1.185% | 
 | 15   | Blaziken-Mega      |  1.15329% | 7109   |  1.153% | 
 | 16   | Arceus-Ground      |  1.12879% | 6958   |  1.129% | 
 | 17   | Zygarde            |  1.04297% | 6429   |  1.043% | 
 | 18   | Greninja           |  1.02367% | 6310   |  1.024% | 
 | 19   | Aegislash          |  1.01345% | 6247   |  1.013% | 
 | 20   | Dialga             |  0.95212% | 5869   |  0.952% | 
 | 21   | Deoxys-Defense     |  0.93898% | 5788   |  0.939% | 
 | 22   | Cloyster           |  0.92065% | 5675   |  0.921% | 
 | 23   | Lugia              |  0.90816% | 5598   |  0.908% | 
 | 24   | Kangaskhan-Mega    |  0.90686% | 5590   |  0.907% | 
 | 25   | Mewtwo-Mega-Y      |  0.90313% | 5567   |  0.903% | 
 | 26   | Greninja-Ash       |  0.86598% | 5338   |  0.866% | 
 | 27   | Gengar-Mega        |  0.85981% | 5300   |  0.860% | 
 | 28   | Forretress         |  0.84181% | 5189   |  0.842% | 
 | 29   | Ho-Oh              |  0.82850% | 5107   |  0.829% | 
 | 30   | Lucario-Mega       |  0.81877% | 5047   |  0.819% | 
 | 31   | Pheromosa          |  0.81066% | 4997   |  0.811% | 
 | 32   | Salamence-Mega     |  0.75355% | 4645   |  0.754% | 
 | 33   | Arceus-Fairy       |  0.74999% | 4623   |  0.750% | 
 | 34   | Landorus-Therian   |  0.74528% | 4594   |  0.745% | 
 | 35   | Genesect           |  0.70635% | 4354   |  0.706% | 
 | 36   | Naganadel          |  0.67828% | 4181   |  0.678% | 
 | 37   | Sableye-Mega       |  0.67714% | 4174   |  0.677% | 
 | 38   | Excadrill          |  0.65979% | 4067   |  0.660% | 
 | 39   | Necrozma-Dawn-Wings |  0.65962% | 4066   |  0.660% | 
 | 40   | Giratina-Origin    |  0.60901% | 3754   |  0.609% | 
 | 41   | Landorus           |  0.57202% | 3526   |  0.572% | 
 | 42   | Garchomp           |  0.56488% | 3482   |  0.565% | 
 | 43   | Shaymin-Sky        |  0.56034% | 3454   |  0.560% | 
 | 44   | Mimikyu            |  0.55385% | 3414   |  0.554% | 
 | 45   | Diancie-Mega       |  0.54120% | 3336   |  0.541% | 
 | 46   | Mewtwo-Mega-X      |  0.54039% | 3331   |  0.540% | 
 | 47   | Toxapex            |  0.52854% | 3258   |  0.529% | 
 | 48   | Galvantula         |  0.52205% | 3218   |  0.522% | 
 | 49   | Charizard-Mega-X   |  0.51962% | 3203   |  0.520% | 
 | 50   | Blaziken           |  0.50194% | 3094   |  0.502% | 
 | 51   | Skarmory           |  0.48815% | 3009   |  0.488% | 
 | 52   | Gliscor            |  0.47063% | 2901   |  0.471% | 
 | 53   | Metagross-Mega     |  0.44986% | 2773   |  0.450% | 
 | 54   | Arceus-Water       |  0.44191% | 2724   |  0.442% | 
 | 55   | Tapu Koko          |  0.43867% | 2704   |  0.439% | 
 | 56   | Kyurem-White       |  0.41466% | 2556   |  0.415% | 
 | 57   | Lunala             |  0.41174% | 2538   |  0.412% | 
 | 58   | Palkia             |  0.38432% | 2369   |  0.384% | 
 | 59   | Tyranitar          |  0.36810% | 2269   |  0.368% | 
 | 60   | Gengar             |  0.34960% | 2155   |  0.350% | 
 | 61   | Snorlax            |  0.34165% | 2106   |  0.342% | 
 | 62   | Tapu Lele          |  0.33387% | 2058   |  0.334% | 
 | 63   | Dragonite          |  0.31651% | 1951   |  0.317% | 
 | 64   | Weavile            |  0.30256% | 1865   |  0.303% | 
 | 65   | Mewtwo             |  0.29250% | 1803   |  0.292% | 
 | 66   | Zekrom             |  0.28731% | 1771   |  0.287% | 
 | 67   | Charizard-Mega-Y   |  0.28049% | 1729   |  0.280% | 
 | 68   | Chansey            |  0.26995% | 1664   |  0.270% | 
 | 69   | Ninetales-Alola    |  0.26881% | 1657   |  0.269% | 
 | 70   | Pikachu            |  0.26200% | 1615   |  0.262% | 
 | 71   | Kartana            |  0.26038% | 1605   |  0.260% | 
 | 72   | Mamoswine          |  0.25502% | 1572   |  0.255% | 
 | 73   | Kyogre             |  0.25113% | 1548   |  0.251% | 
 | 74   | Scolipede          |  0.24951% | 1538   |  0.250% | 
 | 75   | Celesteela         |  0.24334% | 1500   |  0.243% | 
 | 76   | Mew                |  0.24286% | 1497   |  0.243% | 
 | 77   | Rattata            |  0.24140% | 1488   |  0.241% | 
 | 78   | Klefki             |  0.23799% | 1467   |  0.238% | 
 | 79   | Infernape          |  0.22988% | 1417   |  0.230% | 
 | 80   | Ditto              |  0.22761% | 1403   |  0.228% | 
 | 81   | Solgaleo           |  0.22501% | 1387   |  0.225% | 
 | 82   | Wobbuffet          |  0.22112% | 1363   |  0.221% | 
 | 83   | Slurpuff           |  0.21771% | 1342   |  0.218% | 
 | 84   | Groudon            |  0.21528% | 1327   |  0.215% | 
 | 85   | Breloom            |  0.21447% | 1322   |  0.214% | 
 | 86   | Lopunny-Mega       |  0.21203% | 1307   |  0.212% | 
 | 87   | Lycanroc-Dusk      |  0.20652% | 1273   |  0.207% | 
 | 88   | Serperior          |  0.20506% | 1264   |  0.205% | 
 | 89   | Venusaur-Mega      |  0.19824% | 1222   |  0.198% | 
 | 90   | Giratina           |  0.19678% | 1213   |  0.197% | 
 | 91   | Blissey            |  0.19646% | 1211   |  0.196% | 
 | 92   | Clefable           |  0.19597% | 1208   |  0.196% | 
 | 93   | Nosepass           |  0.19500% | 1202   |  0.195% | 
 | 94   | Durant             |  0.18948% | 1168   |  0.189% | 
 | 95   | Garchomp-Mega      |  0.18624% | 1148   |  0.186% | 
 | 96   | Tyranitar-Mega     |  0.18494% | 1140   |  0.185% | 
 | 97   | Bisharp            |  0.17861% | 1101   |  0.179% | 
 | 98   | Rotom-Wash         |  0.17813% | 1098   |  0.178% | 
 | 99   | Nidoking           |  0.17667% | 1089   |  0.177% | 
 | 100  | Volcarona          |  0.17553% | 1082   |  0.176% | 
 | 101  | Heatran            |  0.17537% | 1081   |  0.175% | 
 | 102  | Magearna           |  0.17213% | 1061   |  0.172% | 
 | 103  | Gyarados-Mega      |  0.17180% | 1059   |  0.172% | 
 | 104  | Swampert-Mega      |  0.16953% | 1045   |  0.170% | 
 | 105  | Kyurem-Black       |  0.16872% | 1040   |  0.169% | 
 | 106  | Hippowdon          |  0.16839% | 1038   |  0.168% | 
 | 107  | Jolteon            |  0.16758% | 1033   |  0.168% | 
 | 108  | Beedrill-Mega      |  0.16693% | 1029   |  0.167% | 
 | 109  | Espeon             |  0.16596% | 1023   |  0.166% | 
 | 110  | Dugtrio            |  0.16515% | 1018   |  0.165% | 
 | 111  | Staraptor          |  0.16401% | 1011   |  0.164% | 
 | 112  | Talonflame         |  0.16369% | 1009   |  0.164% | 
 | 113  | Scizor-Mega        |  0.16272% | 1003   |  0.163% | 
 | 114  | Froslass           |  0.15720% | 969    |  0.157% | 
 | 115  | Togekiss           |  0.15720% | 969    |  0.157% | 
 | 116  | Ribombee           |  0.15331% | 945    |  0.153% | 
 | 117  | Krookodile         |  0.15185% | 936    |  0.152% | 
 | 118  | Electivire         |  0.14974% | 923    |  0.150% | 
 | 119  | Zoroark            |  0.14876% | 917    |  0.149% | 
 | 120  | Reshiram           |  0.14844% | 915    |  0.148% | 
 | 121  | Jirachi            |  0.14520% | 895    |  0.145% | 
 | 122  | Crobat             |  0.14309% | 882    |  0.143% | 
 | 123  | Shedinja           |  0.14163% | 873    |  0.142% | 
 | 124  | Arceus-Ghost       |  0.14130% | 871    |  0.141% | 
 | 125  | Sceptile-Mega      |  0.14130% | 871    |  0.141% | 
 | 126  | Porygon-Z          |  0.14081% | 868    |  0.141% | 
 | 127  | Nihilego           |  0.13935% | 859    |  0.139% | 
