 Total leads: 114644
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Gliscor            |  5.02988% | 5741   |  5.008% | 
 | 2    | Manectric-Mega     |  4.03627% | 3987   |  3.478% | 
 | 3    | Azelf              |  3.97517% | 4301   |  3.752% | 
 | 4    | Mamoswine          |  3.92330% | 4010   |  3.498% | 
 | 5    | Swampert           |  3.90278% | 3931   |  3.429% | 
 | 6    | Scizor             |  3.28626% | 3226   |  2.814% | 
 | 7    | Infernape          |  2.60533% | 2875   |  2.508% | 
 | 8    | Aggron-Mega        |  2.58803% | 2630   |  2.294% | 
 | 9    | Beedrill-Mega      |  2.31622% | 2858   |  2.493% | 
 | 10   | Ambipom            |  1.92651% | 2478   |  2.161% | 
 | 11   | Klefki             |  1.84512% | 2137   |  1.864% | 
 | 12   | Azumarill          |  1.82740% | 1913   |  1.669% | 
 | 13   | Krookodile         |  1.80743% | 2046   |  1.785% | 
 | 14   | Hydreigon          |  1.76380% | 1756   |  1.532% | 
 | 15   | Crobat             |  1.71558% | 2065   |  1.801% | 
 | 16   | Forretress         |  1.69135% | 2410   |  2.102% | 
 | 17   | Hippowdon          |  1.65797% | 1814   |  1.582% | 
 | 18   | Darmanitan         |  1.41852% | 1668   |  1.455% | 
 | 19   | Breloom            |  1.40253% | 1177   |  1.027% | 
 | 20   | Latias             |  1.36144% | 1392   |  1.214% | 
 | 21   | Pidgeot-Mega       |  1.34378% | 1263   |  1.102% | 
 | 22   | Serperior          |  1.32377% | 1544   |  1.347% | 
 | 23   | Empoleon           |  1.28558% | 1489   |  1.299% | 
 | 24   | Aerodactyl-Mega    |  1.22404% | 1252   |  1.092% | 
 | 25   | Seismitoad         |  1.21754% | 1285   |  1.121% | 
 | 26   | Nidoking           |  1.07311% | 1252   |  1.092% | 
 | 27   | Amoonguss          |  1.04346% | 1107   |  0.966% | 
 | 28   | Mienshao           |  1.02294% | 1219   |  1.063% | 
 | 29   | Primarina          |  0.98216% | 999    |  0.871% | 
 | 30   | Celebi             |  0.97820% | 1030   |  0.898% | 
 | 31   | Cobalion           |  0.94651% | 1127   |  0.983% | 
 | 32   | Muk-Alola          |  0.92616% | 1023   |  0.892% | 
 | 33   | Volcanion          |  0.92088% | 937    |  0.817% | 
 | 34   | Uxie               |  0.92008% | 852    |  0.743% | 
 | 35   | Chandelure         |  0.89033% | 1054   |  0.919% | 
 | 36   | Arcanine           |  0.78563% | 979    |  0.854% | 
 | 37   | Gengar             |  0.78558% | 920    |  0.802% | 
 | 38   | Crawdaunt          |  0.78331% | 869    |  0.758% | 
 | 39   | Kommo-o            |  0.78255% | 775    |  0.676% | 
 | 40   | Aurorus            |  0.75660% | 654    |  0.570% | 
 | 41   | Marowak-Alola      |  0.70488% | 775    |  0.676% | 
 | 42   | Raikou             |  0.69720% | 764    |  0.666% | 
 | 43   | Araquanid          |  0.69680% | 725    |  0.632% | 
 | 44   | Starmie            |  0.66777% | 783    |  0.683% | 
 | 45   | Magneton           |  0.66571% | 810    |  0.707% | 
 | 46   | Galvantula         |  0.64015% | 1077   |  0.939% | 
 | 47   | Alomomola          |  0.62777% | 608    |  0.530% | 
 | 48   | Togekiss           |  0.60805% | 750    |  0.654% | 
 | 49   | Houndoom-Mega      |  0.59696% | 645    |  0.563% | 
 | 50   | Buzzwole           |  0.58179% | 487    |  0.425% | 
 | 51   | Tentacruel         |  0.56014% | 686    |  0.598% | 
 | 52   | Nihilego           |  0.55073% | 616    |  0.537% | 
 | 53   | Blastoise-Mega     |  0.53411% | 517    |  0.451% | 
 | 54   | Lycanroc-Dusk      |  0.53243% | 721    |  0.629% | 
 | 55   | Altaria-Mega       |  0.52558% | 534    |  0.466% | 
 | 56   | Metagross          |  0.52371% | 672    |  0.586% | 
 | 57   | Absol-Mega         |  0.50834% | 708    |  0.618% | 
 | 58   | Mantine            |  0.50462% | 541    |  0.472% | 
 | 59   | Rotom-Heat         |  0.49130% | 481    |  0.420% | 
 | 60   | Stakataka          |  0.48359% | 648    |  0.565% | 
 | 61   | Blissey            |  0.47161% | 600    |  0.523% | 
 | 62   | Suicune            |  0.46198% | 549    |  0.479% | 
 | 63   | Entei              |  0.45433% | 475    |  0.414% | 
 | 64   | Heracross          |  0.44824% | 501    |  0.437% | 
 | 65   | Sceptile-Mega      |  0.44142% | 580    |  0.506% | 
 | 66   | Talonflame         |  0.42459% | 488    |  0.426% | 
 | 67   | Shuckle            |  0.40261% | 505    |  0.440% | 
 | 68   | Terrakion          |  0.39742% | 441    |  0.385% | 
 | 69   | Bronzong           |  0.39022% | 406    |  0.354% | 
 | 70   | Sharpedo-Mega      |  0.33336% | 471    |  0.411% | 
 | 71   | Moltres            |  0.33266% | 268    |  0.234% | 
 | 72   | Lucario            |  0.32000% | 493    |  0.430% | 
 | 73   | Donphan            |  0.31907% | 416    |  0.363% | 
 | 74   | Haxorus            |  0.30064% | 401    |  0.350% | 
 | 75   | Kyurem             |  0.28146% | 267    |  0.233% | 
 | 76   | Tornadus           |  0.25735% | 260    |  0.227% | 
 | 77   | Espeon             |  0.25618% | 362    |  0.316% | 
 | 78   | Sylveon            |  0.24710% | 298    |  0.260% | 
 | 79   | Necrozma           |  0.24434% | 235    |  0.205% | 
 | 80   | Nidoqueen          |  0.24420% | 289    |  0.252% | 
 | 81   | Steelix-Mega       |  0.23612% | 294    |  0.256% | 
 | 82   | Reuniclus          |  0.22886% | 252    |  0.220% | 
 | 83   | Machamp            |  0.22634% | 275    |  0.240% | 
 | 84   | Smeargle           |  0.22347% | 270    |  0.236% | 
 | 85   | Froslass           |  0.21811% | 302    |  0.263% | 
 | 86   | Cloyster           |  0.21463% | 392    |  0.342% | 
 | 87   | Roserade           |  0.21244% | 220    |  0.192% | 
 | 88   | Ribombee           |  0.21200% | 282    |  0.246% | 
 | 89   | Rotom-Mow          |  0.20683% | 219    |  0.191% | 
 | 90   | Tsareena           |  0.20569% | 225    |  0.196% | 
 | 91   | Porygon2           |  0.19222% | 221    |  0.193% | 
 | 92   | Chesnaught         |  0.18822% | 192    |  0.167% | 
 | 93   | Aerodactyl         |  0.16290% | 235    |  0.205% | 
 | 94   | Slurpuff           |  0.16171% | 189    |  0.165% | 
 | 95   | Jolteon            |  0.15979% | 300    |  0.262% | 
 | 96   | Cresselia          |  0.15539% | 176    |  0.154% | 
 | 97   | Zoroark            |  0.14673% | 288    |  0.251% | 
 | 98   | Mandibuzz          |  0.14427% | 139    |  0.121% | 
 | 99   | Feraligatr         |  0.14157% | 203    |  0.177% | 
 | 100  | Registeel          |  0.14077% | 196    |  0.171% | 
 | 101  | Goodra             |  0.13348% | 171    |  0.149% | 
 | 102  | Quagsire           |  0.12384% | 146    |  0.127% | 
 | 103  | Rhyperior          |  0.11668% | 154    |  0.134% | 
 | 104  | Milotic            |  0.11233% | 184    |  0.160% | 
 | 105  | Gastrodon          |  0.11162% | 118    |  0.103% | 
 | 106  | Golisopod          |  0.11078% | 140    |  0.122% | 
 | 107  | Salazzle           |  0.10941% | 139    |  0.121% | 
 | 108  | Camerupt-Mega      |  0.10872% | 116    |  0.101% | 
 | 109  | Sharpedo           |  0.10624% | 126    |  0.110% | 
 | 110  | Cofagrigus         |  0.10530% | 155    |  0.135% | 
 | 111  | Bewear             |  0.10320% | 106    |  0.092% | 
 | 112  | Swellow            |  0.09841% | 119    |  0.104% | 
 | 113  | Abomasnow-Mega     |  0.09528% | 99     |  0.086% | 
 | 114  | Snorlax            |  0.09169% | 151    |  0.132% | 
 | 115  | Carbink            |  0.08793% | 91     |  0.079% | 
 | 116  | Gigalith           |  0.08784% | 155    |  0.135% | 
 | 117  | Flygon             |  0.08781% | 111    |  0.097% | 
 | 118  | Omastar            |  0.08606% | 91     |  0.079% | 
 | 119  | Mudsdale           |  0.08476% | 105    |  0.092% | 
 | 120  | Accelgor           |  0.08391% | 100    |  0.087% | 
 | 121  | Whimsicott         |  0.08190% | 111    |  0.097% | 
 | 122  | Venomoth           |  0.07365% | 105    |  0.092% | 
 | 123  | Banette-Mega       |  0.07217% | 125    |  0.109% | 
 | 124  | Marshtomp          |  0.06925% | 45     |  0.039% | 
 | 125  | Doublade           |  0.06900% | 79     |  0.069% | 
 | 126  | Durant             |  0.06800% | 120    |  0.105% | 
 | 127  | Hariyama           |  0.06796% | 113    |  0.099% | 
 | 128  | Druddigon          |  0.06669% | 77     |  0.067% | 
 | 129  | Decidueye          |  0.06657% | 89     |  0.078% | 
 | 130  | Honchkrow          |  0.06550% | 93     |  0.081% | 
 | 131  | Delphox            |  0.06132% | 82     |  0.072% | 
 | 132  | Ampharos-Mega      |  0.06077% | 82     |  0.072% | 
 | 133  | Cinccino           |  0.05985% | 91     |  0.079% | 
 | 134  | Gardevoir          |  0.05799% | 70     |  0.061% | 
 | 135  | Mesprit            |  0.05582% | 96     |  0.084% | 
 | 136  | Lycanroc           |  0.05578% | 83     |  0.072% | 
 | 137  | Steelix            |  0.05446% | 91     |  0.079% | 
 | 138  | Dhelmise           |  0.05321% | 78     |  0.068% | 
 | 139  | Torkoal            |  0.05196% | 78     |  0.068% | 
 | 140  | Vaporeon           |  0.05099% | 124    |  0.108% | 
 | 141  | Meloetta           |  0.05015% | 58     |  0.051% | 
 | 142  | Heliolisk          |  0.05010% | 58     |  0.051% | 
 | 143  | Articuno           |  0.04966% | 44     |  0.038% | 
 | 144  | Zygarde-10%        |  0.04936% | 49     |  0.043% | 
 | 145  | Golurk             |  0.04883% | 111    |  0.097% | 
 | 146  | Drapion            |  0.04778% | 97     |  0.085% | 
