 Total leads: 1178450
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Landorus-Therian   |  9.77030% | 85875  |  7.287% | 
 | 2    | Tapu Koko          |  6.55292% | 54220  |  4.601% | 
 | 3    | Cresselia          |  4.57692% | 41470  |  3.519% | 
 | 4    | Tapu Fini          |  4.23820% | 37515  |  3.183% | 
 | 5    | Zapdos             |  4.07984% | 45291  |  3.843% | 
 | 6    | Tapu Lele          |  4.06235% | 50084  |  4.250% | 
 | 7    | Metagross-Mega     |  3.85727% | 28428  |  2.412% | 
 | 8    | Charizard-Mega-Y   |  3.42479% | 35481  |  3.011% | 
 | 9    | Kangaskhan-Mega    |  2.65338% | 23011  |  1.953% | 
 | 10   | Gengar-Mega        |  2.38389% | 20330  |  1.725% | 
 | 11   | Kartana            |  1.95110% | 17325  |  1.470% | 
 | 12   | Salamence-Mega     |  1.83481% | 16958  |  1.439% | 
 | 13   | Amoonguss          |  1.76969% | 18441  |  1.565% | 
 | 14   | Incineroar         |  1.73331% | 21138  |  1.794% | 
 | 15   | Whimsicott         |  1.60689% | 21935  |  1.861% | 
 | 16   | Porygon2           |  1.60354% | 13307  |  1.129% | 
 | 17   | Gothitelle         |  1.57244% | 14515  |  1.232% | 
 | 18   | Manectric-Mega     |  1.48482% | 12731  |  1.080% | 
 | 19   | Tyranitar          |  1.37488% | 19905  |  1.689% | 
 | 20   | Tyranitar-Mega     |  1.37215% | 11763  |  0.998% | 
 | 21   | Scrafty            |  1.36665% | 14697  |  1.247% | 
 | 22   | Aegislash          |  1.34251% | 16482  |  1.399% | 
 | 23   | Volcarona          |  1.25781% | 9517   |  0.808% | 
 | 24   | Ludicolo           |  1.25454% | 16131  |  1.369% | 
 | 25   | Heatran            |  1.14516% | 9490   |  0.805% | 
 | 26   | Persian-Alola      |  1.10436% | 10788  |  0.915% | 
 | 27   | Azumarill          |  1.09320% | 8518   |  0.723% | 
 | 28   | Snorlax            |  1.01536% | 9426   |  0.800% | 
 | 29   | Smeargle           |  0.98295% | 9020   |  0.765% | 
 | 30   | Tapu Bulu          |  0.91201% | 12513  |  1.062% | 
 | 31   | Mimikyu            |  0.86368% | 11521  |  0.978% | 
 | 32   | Celesteela         |  0.80698% | 7955   |  0.675% | 
 | 33   | Pelipper           |  0.73738% | 13155  |  1.116% | 
 | 34   | Nihilego           |  0.73720% | 5556   |  0.471% | 
 | 35   | Kommo-o            |  0.73419% | 7265   |  0.616% | 
 | 36   | Staraptor          |  0.62081% | 7615   |  0.646% | 
 | 37   | Politoed           |  0.59395% | 10129  |  0.860% | 
 | 38   | Clefairy           |  0.58308% | 5339   |  0.453% | 
