 Total battles: 305364
 Avg. weight/team: 0.046
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Volcarona          | 88.28868% | 42859  | 81.840% | 29306  | 76.924% | 
 | 2    | Galvantula         | 64.99867% | 29792  | 56.889% | 24513  | 64.343% | 
 | 3    | Scizor             | 50.49474% | 21803  | 41.633% | 15857  | 41.622% | 
 | 4    | Araquanid          | 45.79267% | 22222  | 42.434% | 16289  | 42.756% | 
 | 5    | Pinsir-Mega        | 44.93827% | 18501  | 35.328% | 12622  | 33.131% | 
 | 6    | Armaldo            | 37.19514% | 16099  | 30.741% | 12913  | 33.895% | 
 | 7    | Forretress         | 36.61354% | 17791  | 33.972% | 15266  | 40.071% | 
 | 8    | Heracross          | 36.05216% | 14987  | 28.618% | 10116  | 26.553% | 
 | 9    | Buzzwole           | 23.98105% | 11414  | 21.795% | 7930   | 20.815% | 
 | 10   | Beedrill-Mega      | 21.88954% | 13420  | 25.626% | 9254   | 24.290% | 
 | 11   | Scizor-Mega        | 21.21952% | 10818  | 20.657% | 7736   | 20.306% | 
 | 12   | Scolipede          | 17.46881% | 10659  | 20.354% | 7397   | 19.416% | 
 | 13   | Shuckle            | 13.43568% | 9026   | 17.235% | 7762   | 20.374% | 
 | 14   | Yanmega            | 12.36517% | 7289   | 13.919% | 4952   | 12.998% | 
 | 15   | Ribombee           | 11.04936% | 7117   | 13.590% | 5013   | 13.158% | 
 | 16   | Golisopod          | 10.67480% | 7580   | 14.474% | 5411   | 14.203% | 
 | 17   | Heracross-Mega     |  8.67001% | 6566   | 12.538% | 4347   | 11.410% | 
 | 18   | Vikavolt           |  7.34025% | 5782   | 11.041% | 3937   | 10.334% | 
 | 19   | Crustle            |  5.45744% | 4061   |  7.755% | 2956   |  7.759% | 
 | 20   | Araquanid-Totem    |  5.29984% | 2524   |  4.820% | 1747   |  4.586% | 
 | 21   | Durant             |  4.79695% | 3592   |  6.859% | 2426   |  6.368% | 
 | 22   | Vivillon           |  4.33003% | 2499   |  4.772% | 1822   |  4.782% | 
 | 23   | Shedinja           |  2.99011% | 2397   |  4.577% | 1468   |  3.853% | 
 | 24   | Scyther            |  2.73235% | 2326   |  4.442% | 1456   |  3.822% | 
 | 25   | Accelgor           |  2.63219% | 2149   |  4.104% | 1529   |  4.013% | 
 | 26   | Venomoth           |  2.13331% | 2027   |  3.871% | 1414   |  3.712% | 
 | 27   | Masquerain         |  1.80779% | 1650   |  3.151% | 1218   |  3.197% | 
 | 28   | Escavalier         |  1.75706% | 1969   |  3.760% | 1407   |  3.693% | 
 | 29   | Butterfree         |  1.49497% | 1598   |  3.051% | 1053   |  2.764% | 
 | 30   | Vikavolt-Totem     |  1.25541% | 959    |  1.831% | 639    |  1.677% | 
 | 31   | Illumise           |  1.17824% | 763    |  1.457% | 586    |  1.538% | 
 | 32   | Vespiquen          |  1.09037% | 1305   |  2.492% | 743    |  1.950% | 
 | 33   | Ninjask            |  1.02221% | 1298   |  2.479% | 893    |  2.344% | 
 | 34   | Leavanny           |  0.94130% | 998    |  1.906% | 721    |  1.893% | 
 | 35   | Ariados            |  0.90227% | 1625   |  3.103% | 1351   |  3.546% | 
 | 36   | Volbeat            |  0.86402% | 523    |  0.999% | 411    |  1.079% | 
 | 37   | Pinsir             |  0.69746% | 702    |  1.340% | 485    |  1.273% | 
 | 38   | Silvally-Bug       |  0.60728% | 522    |  0.997% | 330    |  0.866% | 
 | 39   | Ribombee-Totem     |  0.46792% | 534    |  1.020% | 301    |  0.790% | 
 | 40   | Parasect           |  0.46600% | 728    |  1.390% | 501    |  1.315% | 
 | 41   | Wormadam-Sandy     |  0.30671% | 322    |  0.615% | 226    |  0.593% | 
 | 42   | Whirlipede         |  0.29077% | 538    |  1.027% | 430    |  1.129% | 
 | 43   | Dustox             |  0.21494% | 663    |  1.266% | 407    |  1.068% | 
 | 44   | Combee             |  0.19216% | 109    |  0.208% | 78     |  0.205% | 
 | 45   | Wormadam-Trash     |  0.15057% | 133    |  0.254% | 110    |  0.289% | 
 | 46   | Beedrill           |  0.13023% | 186    |  0.355% | 140    |  0.367% | 
 | 47   | Beautifly          |  0.12950% | 193    |  0.369% | 126    |  0.331% | 
 | 48   | Ledian             |  0.12191% | 245    |  0.468% | 185    |  0.486% | 
 | 49   | Kricketune         |  0.11921% | 178    |  0.340% | 126    |  0.331% | 
 | 50   | Mothim             |  0.10966% | 144    |  0.275% | 102    |  0.268% | 
 | 51   | Pineco             |  0.10130% | 86     |  0.164% | 71     |  0.186% | 
 | 52   | Charjabug          |  0.06996% | 59     |  0.113% | 41     |  0.108% | 
 | 53   | Cutiefly           |  0.05671% | 72     |  0.137% | 42     |  0.110% | 
 | 54   | Swadloon           |  0.04316% | 54     |  0.103% | 39     |  0.102% | 
 | 55   | Paras              |  0.03405% | 27     |  0.052% | 21     |  0.055% | 
 | 56   | Metapod            |  0.02591% | 28     |  0.053% | 24     |  0.063% | 
 | 57   | Venipede           |  0.02262% | 18     |  0.034% | 15     |  0.039% | 
 | 58   | Spewpa             |  0.01807% | 22     |  0.042% | 18     |  0.047% | 
 | 59   | Wormadam           |  0.01690% | 24     |  0.046% | 18     |  0.047% | 
 | 60   | Yanma              |  0.01624% | 38     |  0.073% | 26     |  0.068% | 
 | 61   | Kakuna             |  0.01569% | 23     |  0.044% | 20     |  0.052% | 
 | 62   | Shelmet            |  0.01514% | 38     |  0.073% | 26     |  0.068% | 
 | 63   | Surskit            |  0.01487% | 19     |  0.036% | 17     |  0.045% | 
 | 64   | Larvesta           |  0.01427% | 27     |  0.052% | 20     |  0.052% | 
 | 65   | Caterpie           |  0.01372% | 15     |  0.029% | 12     |  0.031% | 
 | 66   | Dwebble            |  0.01348% | 10     |  0.019% | 9      |  0.024% | 
 | 67   | Dewpider           |  0.01348% | 25     |  0.048% | 18     |  0.047% | 
 | 68   | Joltik             |  0.01272% | 40     |  0.076% | 37     |  0.097% | 
 | 69   | Silcoon            |  0.01224% | 12     |  0.023% | 9      |  0.024% | 
 | 70   | Cascoon            |  0.01104% | 17     |  0.032% | 14     |  0.037% | 
 | 71   | Skorupi            |  0.01046% | 10     |  0.019% | 7      |  0.018% | 
 | 72   | Wurmple            |  0.01027% | 10     |  0.019% | 8      |  0.021% | 
 | 73   | Weedle             |  0.00821% | 9      |  0.017% | 7      |  0.018% | 
 | 74   | Anorith            |  0.00764% | 12     |  0.023% | 6      |  0.016% | 
 | 75   | Scatterbug         |  0.00676% | 8      |  0.015% | 6      |  0.016% | 
 | 76   | Nincada            |  0.00337% | 3      |  0.006% | 3      |  0.008% | 
 | 77   | Sewaddle           |  0.00294% | 3      |  0.006% | 3      |  0.008% | 
 | 78   | Spinarak           |  0.00173% | 34     |  0.065% | 25     |  0.066% | 
 | 79   | Venonat            |  0.00139% | 1      |  0.002% | 1      |  0.003% | 
