 Total battles: 305364
 Avg. weight/team: 0.006
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Tapu Koko          | 97.09969% | 25325  | 80.295% | 21303  | 87.647% | 
 | 2    | Rotom-Wash         | 82.06360% | 20754  | 65.802% | 16712  | 68.759% | 
 | 3    | Zapdos             | 79.60699% | 19289  | 61.157% | 14774  | 60.785% | 
 | 4    | Raichu-Alola       | 72.16051% | 15734  | 49.886% | 11191  | 46.043% | 
 | 5    | Golem-Alola        | 49.82473% | 10487  | 33.250% | 8660   | 35.630% | 
 | 6    | Magnezone          | 39.96511% | 11811  | 37.448% | 8796   | 36.190% | 
 | 7    | Manectric-Mega     | 38.96375% | 13191  | 41.823% | 9573   | 39.386% | 
 | 8    | Xurkitree          | 31.87477% | 9968   | 31.604% | 7443   | 30.623% | 
 | 9    | Thundurus          | 26.25339% | 4894   | 15.517% | 3704   | 15.239% | 
 | 10   | Galvantula         | 17.62124% | 8137   | 25.799% | 7176   | 29.524% | 
 | 11   | Electivire         | 16.39057% | 8214   | 26.043% | 5823   | 23.958% | 
 | 12   | Eelektross         |  7.83728% | 5808   | 18.415% | 4569   | 18.798% | 
 | 13   | Thundurus-Therian  |  6.75557% | 3430   | 10.875% | 2578   | 10.607% | 
 | 14   | Ampharos-Mega      |  5.21232% | 4918   | 15.593% | 3347   | 13.771% | 
 | 15   | Stunfisk           |  3.43332% | 1243   |  3.941% | 1020   |  4.197% | 
 | 16   | Luxray             |  2.93189% | 3364   | 10.666% | 2431   | 10.002% | 
 | 17   | Raikou             |  2.91923% | 2245   |  7.118% | 1588   |  6.534% | 
 | 18   | Heliolisk          |  2.87552% | 1338   |  4.242% | 974    |  4.007% | 
 | 19   | Pikachu            |  2.70136% | 1028   |  3.259% | 770    |  3.168% | 
 | 20   | Togedemaru         |  2.09922% | 2011   |  6.376% | 1583   |  6.513% | 
 | 21   | Jolteon            |  1.68550% | 2959   |  9.382% | 2125   |  8.743% | 
 | 22   | Electrode          |  1.53357% | 901    |  2.857% | 748    |  3.078% | 
 | 23   | Silvally-Electric  |  1.27013% | 403    |  1.278% | 291    |  1.197% | 
 | 24   | Rotom-Heat         |  1.10514% | 966    |  3.063% | 775    |  3.189% | 
 | 25   | Rotom-Mow          |  0.98736% | 691    |  2.191% | 526    |  2.164% | 
 | 26   | Vikavolt           |  0.90765% | 1321   |  4.188% | 963    |  3.962% | 
 | 27   | Lanturn            |  0.76422% | 1789   |  5.672% | 1360   |  5.595% | 
 | 28   | Vikavolt-Totem     |  0.75126% | 550    |  1.744% | 383    |  1.576% | 
 | 29   | Magneton           |  0.55468% | 554    |  1.756% | 400    |  1.646% | 
