 Total battles: 305364
 Avg. weight/team: 0.056
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Infernape          | 51.95547% | 17735  | 51.955% | 13041  | 52.440% | 
 | 2    | Torkoal            | 51.06489% | 17431  | 51.065% | 15486  | 62.272% | 
 | 3    | Heatran            | 45.14721% | 15411  | 45.147% | 11569  | 46.521% | 
 | 4    | Charizard-Mega-X   | 44.94214% | 15341  | 44.942% | 10961  | 44.076% | 
 | 5    | Volcanion          | 44.57302% | 15215  | 44.573% | 10730  | 43.147% | 
 | 6    | Charizard-Mega-Y   | 42.17079% | 14395  | 42.171% | 10871  | 43.714% | 
 | 7    | Volcarona          | 37.17885% | 12691  | 37.179% | 8249   | 33.171% | 
 | 8    | Blacephalon        | 36.95034% | 12613  | 36.950% | 8730   | 35.105% | 
 | 9    | Rotom-Heat         | 36.55486% | 12478  | 36.555% | 9523   | 38.294% | 
 | 10   | Victini            | 34.71803% | 11851  | 34.718% | 7988   | 32.121% | 
 | 11   | Arcanine           | 20.44529% | 6979   | 20.445% | 4997   | 20.094% | 
 | 12   | Darmanitan         | 18.81646% | 6423   | 18.816% | 4495   | 18.075% | 
 | 13   | Ninetales          | 16.57829% | 5659   | 16.578% | 4332   | 17.420% | 
 | 14   | Marowak-Alola      | 14.68288% | 5012   | 14.683% | 3396   | 13.656% | 
 | 15   | Talonflame         | 10.96236% | 3742   | 10.962% | 2637   | 10.604% | 
 | 16   | Chandelure         | 10.38231% | 3544   | 10.382% | 2435   |  9.792% | 
 | 17   | Salazzle           |  9.39798% | 3208   |  9.398% | 2188   |  8.798% | 
 | 18   | Entei              |  8.73883% | 2983   |  8.739% | 2104   |  8.461% | 
 | 19   | Incineroar         |  7.16567% | 2446   |  7.166% | 1756   |  7.061% | 
 | 20   | Houndoom-Mega      |  6.69108% | 2284   |  6.691% | 1586   |  6.378% | 
 | 21   | Typhlosion         |  5.59836% | 1911   |  5.598% | 1367   |  5.497% | 
