 Total battles: 305364
 Avg. weight/team: 0.06
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Charizard-Mega-Y   | 44.64116% | 16415  | 44.641% | 11635  | 43.498% | 
 | 2    | Celesteela         | 43.64581% | 16049  | 43.646% | 12630  | 47.218% | 
 | 3    | Landorus-Therian   | 42.23437% | 15530  | 42.234% | 12491  | 46.698% | 
 | 4    | Skarmory           | 40.55914% | 14914  | 40.559% | 12495  | 46.713% | 
 | 5    | Dragonite          | 40.20016% | 14782  | 40.200% | 10015  | 37.442% | 
 | 6    | Gliscor            | 35.71021% | 13131  | 35.710% | 10049  | 37.569% | 
 | 7    | Zapdos             | 33.69231% | 12389  | 33.692% | 8976   | 33.557% | 
 | 8    | Togekiss           | 30.09437% | 11066  | 30.094% | 7720   | 28.862% | 
 | 9    | Thundurus-Therian  | 24.56555% | 9033   | 24.566% | 6486   | 24.248% | 
 | 10   | Hawlucha           | 22.21588% | 8169   | 22.216% | 5492   | 20.532% | 
 | 11   | Pidgeot-Mega       | 20.97577% | 7713   | 20.976% | 5138   | 19.209% | 
 | 12   | Gyarados           | 18.87085% | 6939   | 18.871% | 4838   | 18.087% | 
 | 13   | Mantine            | 18.22904% | 6703   | 18.229% | 5118   | 19.134% | 
 | 14   | Aerodactyl-Mega    | 15.82769% | 5820   | 15.828% | 4072   | 15.223% | 
 | 15   | Staraptor          | 15.68084% | 5766   | 15.681% | 4012   | 14.999% | 
 | 16   | Salamence          | 12.66215% | 4656   | 12.662% | 3127   | 11.690% | 
 | 17   | Crobat             |  9.76041% | 3589   |  9.760% | 2429   |  9.081% | 
 | 18   | Talonflame         |  8.30002% | 3052   |  8.300% | 2145   |  8.019% | 
 | 19   | Landorus           |  8.28642% | 3047   |  8.286% | 2252   |  8.419% | 
 | 20   | Swellow            |  7.56303% | 2781   |  7.563% | 1872   |  6.999% | 
 | 21   | Mandibuzz          |  7.52767% | 2768   |  7.528% | 1856   |  6.939% | 
 | 22   | Honchkrow          |  7.48688% | 2753   |  7.487% | 1841   |  6.883% | 
 | 23   | Minior             |  6.65742% | 2448   |  6.657% | 1716   |  6.415% | 
 | 24   | Tornadus-Therian   |  6.03737% | 2220   |  6.037% | 1517   |  5.671% | 
 | 25   | Pelipper           |  5.26774% | 1937   |  5.268% | 1483   |  5.544% | 
 | 26   | Sigilyph           |  5.24598% | 1929   |  5.246% | 1375   |  5.141% | 
 | 27   | Thundurus          |  5.03114% | 1850   |  5.031% | 1335   |  4.991% | 
 | 28   | Aerodactyl         |  4.56882% | 1680   |  4.569% | 1384   |  5.174% | 
 | 29   | Xatu               |  4.19080% | 1541   |  4.191% | 1124   |  4.202% | 
 | 30   | Noivern            |  4.16905% | 1533   |  4.169% | 1001   |  3.742% | 
 | 31   | Yanmega            |  3.92701% | 1444   |  3.927% | 1004   |  3.754% | 
 | 32   | Archeops           |  3.13834% | 1154   |  3.138% | 850    |  3.178% | 
 | 33   | Articuno           |  2.72497% | 1002   |  2.725% | 680    |  2.542% | 
 | 34   | Vivillon           |  2.17835% | 801    |  2.178% | 522    |  1.952% | 
 | 35   | Drifblim           |  2.11580% | 778    |  2.116% | 530    |  1.981% | 
 | 36   | Dodrio             |  2.10492% | 774    |  2.105% | 484    |  1.809% | 
 | 37   | Toucannon          |  2.09676% | 771    |  2.097% | 552    |  2.064% | 
 | 38   | Chatot             |  2.04237% | 751    |  2.042% | 600    |  2.243% | 
 | 39   | Masquerain         |  1.91727% | 705    |  1.917% | 590    |  2.206% | 
 | 40   | Braviary           |  1.85472% | 682    |  1.855% | 480    |  1.795% | 
 | 41   | Emolga             |  1.81121% | 666    |  1.811% | 512    |  1.914% | 
 | 42   | Scyther            |  1.76226% | 648    |  1.762% | 418    |  1.563% | 
 | 43   | Moltres            |  1.69699% | 624    |  1.697% | 448    |  1.675% | 
 | 44   | Charizard          |  1.48759% | 547    |  1.488% | 383    |  1.432% | 
 | 45   | Rotom-Fan          |  1.37336% | 505    |  1.373% | 393    |  1.469% | 
 | 46   | Ninjask            |  1.34889% | 496    |  1.349% | 353    |  1.320% | 
 | 47   | Tropius            |  1.30538% | 480    |  1.305% | 307    |  1.148% | 
 | 48   | Jumpluff           |  1.25099% | 460    |  1.251% | 309    |  1.155% | 
 | 49   | Unfezant           |  1.20747% | 444    |  1.207% | 296    |  1.107% | 
 | 50   | Murkrow            |  1.07150% | 394    |  1.071% | 304    |  1.137% | 
 | 51   | Noctowl            |  1.00351% | 369    |  1.004% | 289    |  1.080% | 
 | 52   | Swoobat            |  0.97903% | 360    |  0.979% | 269    |  1.006% | 
 | 53   | Altaria            |  0.95184% | 350    |  0.952% | 239    |  0.894% | 
 | 54   | Tornadus           |  0.75059% | 276    |  0.751% | 185    |  0.692% | 
 | 55   | Gligar             |  0.73699% | 271    |  0.737% | 228    |  0.852% | 
 | 56   | Vespiquen          |  0.67716% | 249    |  0.677% | 159    |  0.594% | 
 | 57   | Butterfree         |  0.57382% | 211    |  0.574% | 149    |  0.557% | 
 | 58   | Togetic            |  0.50583% | 186    |  0.506% | 125    |  0.467% | 
 | 59   | Silvally-Flying    |  0.49767% | 183    |  0.498% | 119    |  0.445% | 
 | 60   | Farfetch'd         |  0.45960% | 169    |  0.460% | 125    |  0.467% | 
 | 61   | Oricorio-Pom-Pom   |  0.38073% | 140    |  0.381% | 110    |  0.411% | 
 | 62   | Golbat             |  0.36442% | 134    |  0.364% | 96     |  0.359% | 
 | 63   | Oricorio-Sensu     |  0.35898% | 132    |  0.359% | 77     |  0.288% | 
 | 64   | Swanna             |  0.34810% | 128    |  0.348% | 87     |  0.325% | 
 | 65   | Pidgeot            |  0.32906% | 121    |  0.329% | 57     |  0.213% | 
 | 66   | Delibird           |  0.32362% | 119    |  0.324% | 96     |  0.359% | 
 | 67   | Fearow             |  0.32362% | 119    |  0.324% | 85     |  0.318% | 
 | 68   | Oricorio           |  0.24204% | 89     |  0.242% | 62     |  0.232% | 
 | 69   | Dartrix            |  0.19037% | 70     |  0.190% | 50     |  0.187% | 
 | 70   | Mantyke            |  0.14685% | 54     |  0.147% | 32     |  0.120% | 
 | 71   | Mothim             |  0.14685% | 54     |  0.147% | 41     |  0.153% | 
 | 72   | Ledian             |  0.13326% | 49     |  0.133% | 41     |  0.153% | 
 | 73   | Beautifly          |  0.09246% | 34     |  0.092% | 16     |  0.060% | 
 | 74   | Staravia           |  0.05711% | 21     |  0.057% | 16     |  0.060% | 
 | 75   | Taillow            |  0.04351% | 16     |  0.044% | 10     |  0.037% | 
 | 76   | Doduo              |  0.03807% | 14     |  0.038% | 11     |  0.041% | 
 | 77   | Oricorio-Pa'u      |  0.03535% | 13     |  0.035% | 9      |  0.034% | 
 | 78   | Ducklett           |  0.02720% | 10     |  0.027% | 10     |  0.037% | 
 | 79   | Charizard-Mega-X   |  0.01904% | 7      |  0.019% | 7      |  0.026% | 
 | 80   | Skiploom           |  0.01904% | 7      |  0.019% | 6      |  0.022% | 
 | 81   | Starly             |  0.01904% | 7      |  0.019% | 6      |  0.022% | 
