 Total battles: 305364
 Avg. weight/team: 0.022
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Mimikyu            | 82.81199% | 21675  | 75.787% | 15778  | 75.581% | 
 | 2    | Sableye-Mega       | 73.53164% | 18051  | 63.115% | 14975  | 71.735% | 
 | 3    | Gengar             | 70.41512% | 19102  | 66.790% | 12897  | 61.781% | 
 | 4    | Blacephalon        | 48.79931% | 11558  | 40.413% | 8191   | 39.237% | 
 | 5    | Marowak-Alola      | 43.66787% | 11200  | 39.161% | 8174   | 39.156% | 
 | 6    | Jellicent          | 42.29424% | 10761  | 37.626% | 7831   | 37.513% | 
 | 7    | Golurk             | 22.25867% | 6091   | 21.297% | 4733   | 22.673% | 
 | 8    | Chandelure         | 20.70370% | 7568   | 26.462% | 5326   | 25.513% | 
 | 9    | Dhelmise           | 20.60705% | 5374   | 18.790% | 3750   | 17.964% | 
 | 10   | Cofagrigus         | 19.31846% | 5936   | 20.755% | 4552   | 21.805% | 
 | 11   | Doublade           | 18.16139% | 4648   | 16.252% | 3424   | 16.402% | 
 | 12   | Decidueye          | 15.72651% | 4836   | 16.909% | 3326   | 15.933% | 
 | 13   | Banette-Mega       | 15.71935% | 5804   | 20.294% | 4127   | 19.770% | 
 | 14   | Gourgeist-Super    | 11.61463% | 2684   |  9.385% | 1922   |  9.207% | 
 | 15   | Palossand          | 11.61274% | 3685   | 12.885% | 2882   | 13.806% | 
 | 16   | Froslass           | 11.46019% | 4362   | 15.252% | 3402   | 16.297% | 
 | 17   | Trevenant          | 10.04828% | 4164   | 14.559% | 2846   | 13.633% | 
 | 18   | Dusclops           |  8.02412% | 2871   | 10.038% | 2113   | 10.122% | 
 | 19   | Shedinja           |  7.14805% | 2768   |  9.678% | 1900   |  9.102% | 
 | 20   | Mimikyu-Totem      |  6.42364% | 1771   |  6.192% | 1343   |  6.433% | 
 | 21   | Hoopa              |  6.35767% | 1815   |  6.346% | 1210   |  5.796% | 
 | 22   | Dusknoir           |  5.64883% | 2619   |  9.157% | 1959   |  9.384% | 
 | 23   | Mismagius          |  4.75218% | 2480   |  8.671% | 1714   |  8.211% | 
 | 24   | Drifblim           |  4.32212% | 2142   |  7.490% | 1476   |  7.070% | 
 | 25   | Rotom              |  4.18485% | 1241   |  4.339% | 912    |  4.369% | 
 | 26   | Sableye            |  3.23094% | 1256   |  4.392% | 951    |  4.556% | 
 | 27   | Spiritomb          |  3.18951% | 1837   |  6.423% | 1351   |  6.472% | 
 | 28   | Silvally-Ghost     |  2.01932% | 672    |  2.350% | 489    |  2.342% | 
 | 29   | Marowak-Alola-Totem |  1.82554% | 649    |  2.269% | 480    |  2.299% | 
 | 30   | Oricorio-Sensu     |  1.20683% | 509    |  1.780% | 337    |  1.614% | 
 | 31   | Gourgeist          |  0.53042% | 236    |  0.825% | 165    |  0.790% | 
 | 32   | Gourgeist-Small    |  0.45522% | 130    |  0.455% | 89     |  0.426% | 
 | 33   | Duskull            |  0.35639% | 92     |  0.322% | 64     |  0.307% | 
 | 34   | Banette            |  0.34184% | 280    |  0.979% | 198    |  0.948% | 
 | 35   | Misdreavus         |  0.32717% | 149    |  0.521% | 102    |  0.489% | 
 | 36   | Haunter            |  0.28674% | 166    |  0.580% | 129    |  0.618% | 
 | 37   | Gastly             |  0.09806% | 28     |  0.098% | 25     |  0.120% | 
 | 38   | Gourgeist-Large    |  0.06175% | 77     |  0.269% | 43     |  0.206% | 
 | 39   | Pumpkaboo-Super    |  0.02792% | 12     |  0.042% | 11     |  0.053% | 
 | 40   | Lampent            |  0.02061% | 16     |  0.056% | 14     |  0.067% | 
 | 41   | Yamask             |  0.02018% | 12     |  0.042% | 7      |  0.034% | 
 | 42   | Golett             |  0.01102% | 7      |  0.024% | 2      |  0.010% | 
 | 43   | Sandygast          |  0.00689% | 6      |  0.021% | 4      |  0.019% | 
 | 44   | Honedge            |  0.00599% | 11     |  0.038% | 6      |  0.029% | 
 | 45   | Frillish           |  0.00550% | 15     |  0.052% | 10     |  0.048% | 
 | 46   | Pumpkaboo-Small    |  0.00534% | 4      |  0.014% | 3      |  0.014% | 
 | 47   | Shuppet            |  0.00397% | 5      |  0.017% | 5      |  0.024% | 
 | 48   | Drifloon           |  0.00396% | 2      |  0.007% | 1      |  0.005% | 
 | 49   | Pumpkaboo          |  0.00282% | 1      |  0.003% | 1      |  0.005% | 
 | 50   | Pumpkaboo-Large    |  0.00211% | 8      |  0.028% | 3      |  0.014% | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
