 Total battles: 305364
 Avg. weight/team: 0.041
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Venusaur-Mega      | 70.26227% | 17574  | 70.262% | 12958  | 71.723% | 
 | 2    | Ferrothorn         | 69.13482% | 17292  | 69.135% | 14747  | 81.625% | 
 | 3    | Breloom            | 59.30753% | 14834  | 59.308% | 10631  | 58.843% | 
 | 4    | Tapu Bulu          | 46.30178% | 11581  | 46.302% | 7841   | 43.400% | 
 | 5    | Serperior          | 41.77995% | 10450  | 41.780% | 7123   | 39.426% | 
 | 6    | Cradily            | 37.27811% | 9324   | 37.278% | 7391   | 40.909% | 
 | 7    | Celebi             | 21.84551% | 5464   | 21.846% | 3415   | 18.902% | 
 | 8    | Whimsicott         | 20.86998% | 5220   | 20.870% | 3752   | 20.767% | 
 | 9    | Ludicolo           | 19.63458% | 4911   | 19.635% | 3497   | 19.356% | 
 | 10   | Sceptile-Mega      | 17.87542% | 4471   | 17.875% | 3128   | 17.313% | 
 | 11   | Rotom-Mow          | 17.31169% | 4330   | 17.312% | 3244   | 17.956% | 
 | 12   | Tangrowth          | 13.96530% | 3493   | 13.965% | 2341   | 12.957% | 
 | 13   | Roserade           | 13.52951% | 3384   | 13.530% | 2334   | 12.919% | 
 | 14   | Decidueye          | 10.63490% | 2660   | 10.635% | 1792   |  9.919% | 
 | 15   | Torterra           | 10.43499% | 2610   | 10.435% | 1921   | 10.633% | 
 | 16   | Exeggutor-Alola    |  9.71534% | 2430   |  9.715% | 1626   |  9.000% | 
 | 17   | Trevenant          |  7.74428% | 1937   |  7.744% | 1373   |  7.600% | 
 | 18   | Tsareena           |  7.57636% | 1895   |  7.576% | 1215   |  6.725% | 
 | 19   | Dhelmise           |  7.33648% | 1835   |  7.336% | 1313   |  7.267% | 
