 Total battles: 305364
 Avg. weight/team: 0.022
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Excadrill          | 83.53736% | 17474  | 72.979% | 13085  | 73.604% | 
 | 2    | Hippowdon          | 80.14710% | 17200  | 71.834% | 15187  | 85.427% | 
 | 3    | Landorus           | 49.97803% | 8530   | 35.625% | 6083   | 34.217% | 
 | 4    | Mamoswine          | 41.36541% | 8584   | 35.850% | 6156   | 34.628% | 
 | 5    | Garchomp           | 39.57705% | 9107   | 38.035% | 6430   | 36.169% | 
 | 6    | Gastrodon          | 39.02611% | 9163   | 38.268% | 6765   | 38.053% | 
 | 7    | Seismitoad         | 35.90802% | 6486   | 27.088% | 4906   | 27.596% | 
 | 8    | Garchomp-Mega      | 35.73826% | 8477   | 35.403% | 5831   | 32.800% | 
 | 9    | Nidoking           | 33.95411% | 8223   | 34.343% | 5760   | 32.400% | 
 | 10   | Gliscor            | 24.75704% | 7801   | 32.580% | 5735   | 32.260% | 
 | 11   | Landorus-Therian   | 24.25404% | 6516   | 27.213% | 4972   | 27.968% | 
 | 12   | Dugtrio            | 18.87254% | 3708   | 15.486% | 2640   | 14.850% | 
 | 13   | Diggersby          | 13.10713% | 2928   | 12.229% | 2163   | 12.167% | 
 | 14   | Krookodile         | 10.85238% | 3569   | 14.906% | 2426   | 13.646% | 
 | 15   | Steelix-Mega       |  9.10297% | 2303   |  9.618% | 1720   |  9.675% | 
 | 16   | Camerupt-Mega      |  8.85011% | 2724   | 11.377% | 2011   | 11.312% | 
 | 17   | Swampert-Mega      |  6.66907% | 2700   | 11.276% | 1881   | 10.581% | 
 | 18   | Quagsire           |  5.96022% | 1732   |  7.234% | 1222   |  6.874% | 
 | 19   | Torterra           |  4.44210% | 2003   |  8.365% | 1369   |  7.701% | 
 | 20   | Flygon             |  3.86737% | 1531   |  6.394% | 1102   |  6.199% | 
 | 21   | Claydol            |  3.79031% | 1556   |  6.498% | 1196   |  6.728% | 
 | 22   | Palossand          |  3.47064% | 1577   |  6.586% | 1042   |  5.861% | 
 | 23   | Rhyperior          |  3.16872% | 1198   |  5.003% | 816    |  4.590% | 
 | 24   | Nidoqueen          |  2.49970% | 904    |  3.775% | 654    |  3.679% | 
 | 25   | Swampert           |  2.43081% | 908    |  3.792% | 683    |  3.842% | 
 | 26   | Donphan            |  1.99759% | 732    |  3.057% | 552    |  3.105% | 
 | 27   | Mudsdale           |  1.99587% | 910    |  3.801% | 642    |  3.611% | 
 | 28   | Golurk             |  1.28009% | 638    |  2.665% | 446    |  2.509% | 
 | 29   | Stunfisk           |  1.20750% | 529    |  2.209% | 420    |  2.363% | 
 | 30   | Dugtrio-Alola      |  1.10146% | 527    |  2.201% | 415    |  2.334% | 
 | 31   | Sandslash          |  0.87761% | 419    |  1.750% | 251    |  1.412% | 
 | 32   | Steelix            |  0.81031% | 443    |  1.850% | 322    |  1.811% | 
 | 33   | Camerupt           |  0.77799% | 437    |  1.825% | 320    |  1.800% | 
 | 34   | Silvally-Ground    |  0.77179% | 233    |  0.973% | 165    |  0.928% | 
 | 35   | Rhydon             |  0.73993% | 328    |  1.370% | 211    |  1.187% | 
 | 36   | Marowak            |  0.68190% | 361    |  1.508% | 268    |  1.508% | 
 | 37   | Piloswine          |  0.45294% | 238    |  0.994% | 193    |  1.086% | 
 | 38   | Whiscash           |  0.40456% | 197    |  0.823% | 134    |  0.754% | 
 | 39   | Golem              |  0.40306% | 230    |  0.961% | 176    |  0.990% | 
 | 40   | Gligar             |  0.33748% | 106    |  0.443% | 90     |  0.506% | 
 | 41   | Onix               |  0.10943% | 25     |  0.104% | 12     |  0.068% | 
 | 42   | Wormadam-Sandy     |  0.09661% | 37     |  0.155% | 33     |  0.186% | 
 | 43   | Hippopotas         |  0.07707% | 31     |  0.129% | 29     |  0.163% | 
 | 44   | Trapinch           |  0.05483% | 22     |  0.092% | 20     |  0.113% | 
 | 45   | Diglett            |  0.04250% | 7      |  0.029% | 6      |  0.034% | 
 | 46   | Palpitoad          |  0.04148% | 24     |  0.100% | 14     |  0.079% | 
 | 47   | Marshtomp          |  0.03842% | 20     |  0.084% | 13     |  0.073% | 
 | 48   | Pupitar            |  0.01908% | 39     |  0.163% | 25     |  0.141% | 
 | 49   | Nincada            |  0.01870% | 8      |  0.033% | 7      |  0.039% | 
 | 50   | Gabite             |  0.01781% | 7      |  0.029% | 2      |  0.011% | 
 | 51   | Golett             |  0.01548% | 7      |  0.029% | 4      |  0.023% | 
 | 52   | Graveler           |  0.01472% | 19     |  0.079% | 15     |  0.084% | 
 | 53   | Diglett-Alola      |  0.01404% | 4      |  0.017% | 3      |  0.017% | 
 | 54   | Numel              |  0.00982% | 5      |  0.021% | 5      |  0.028% | 
 | 55   | Gible              |  0.00471% | 10     |  0.042% | 5      |  0.028% | 
 | 56   | Baltoy             |  0.00456% | 2      |  0.008% | 2      |  0.011% | 
 | 57   | Barboach           |  0.00456% | 2      |  0.008% | 2      |  0.011% | 
 | 58   | Larvitar           |  0.00456% | 2      |  0.008% | 2      |  0.011% | 
 | 59   | Drilbur            |  0.00425% | 1      |  0.004% | 1      |  0.006% | 
 | 60   | Sandshrew          |  0.00282% | 1      |  0.004% | 1      |  0.006% | 
 | 61   | Phanpy             |  0.00079% | 9      |  0.038% | 9      |  0.051% | 
 | 62   | Vibrava            |  0.00022% | 3      |  0.013% | 3      |  0.017% | 
 | 63   | Krokorok           |  0.00021% | 1      |  0.004% | 1      |  0.006% | 
 | 64   | Geodude            |  0.00000% | 1      |  0.004% | 0      |  0.000% | 
 | 65   | Sandygast          |  0.00000% | 17     |  0.071% | 8      |  0.045% | 
 | 66   | Mudbray            |  0.00000% | 4      |  0.017% | 2      |  0.011% | 
 | 67   | Cubone             |  0.00000% | 2      |  0.008% | 2      |  0.011% | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
