 Total battles: 305364
 Avg. weight/team: 0.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Kyurem-Black       | 89.95920% | 10475  | 48.930% | 7346   | 45.706% | 
 | 2    | Ninetales-Alola    | 85.50321% | 17812  | 83.203% | 15108  | 94.001% | 
 | 3    | Mamoswine          | 80.08194% | 13118  | 61.276% | 10556  | 65.679% | 
 | 4    | Weavile            | 60.35646% | 10638  | 49.692% | 7503   | 46.683% | 
 | 5    | Sandslash-Alola    | 59.98386% | 11237  | 52.490% | 8287   | 51.561% | 
 | 6    | Cloyster           | 56.64851% | 10236  | 47.814% | 7449   | 46.347% | 
 | 7    | Avalugg            | 32.40897% | 6448   | 30.120% | 4887   | 30.407% | 
 | 8    | Lapras             | 31.62437% | 4983   | 23.276% | 3728   | 23.195% | 
 | 9    | Froslass           | 17.06334% | 5543   | 25.892% | 4260   | 26.505% | 
 | 10   | Walrein            | 13.73425% | 3267   | 15.261% | 2350   | 14.622% | 
 | 11   | Abomasnow-Mega     | 13.40450% | 6250   | 29.195% | 4662   | 29.007% | 
 | 12   | Piloswine          | 12.20616% | 1511   |  7.058% | 1207   |  7.510% | 
 | 13   | Glalie-Mega        |  8.08669% | 3721   | 17.381% | 2376   | 14.783% | 
 | 14   | Regice             |  5.87088% | 2154   | 10.062% | 1503   |  9.352% | 
 | 15   | Rotom-Frost        |  5.79327% | 3056   | 14.275% | 2303   | 14.329% | 
 | 16   | Beartic            |  5.05074% | 2169   | 10.132% | 1468   |  9.134% | 
 | 17   | Jynx               |  4.09211% | 1174   |  5.484% | 802    |  4.990% | 
 | 18   | Articuno           |  3.37587% | 2049   |  9.571% | 1449   |  9.016% | 
 | 19   | Kyurem             |  2.97038% | 684    |  3.195% | 457    |  2.843% | 
 | 20   | Aurorus            |  2.95517% | 2557   | 11.944% | 2075   | 12.911% | 
 | 21   | Vanilluxe          |  2.31574% | 2199   | 10.272% | 1671   | 10.397% | 
 | 22   | Glaceon            |  1.77688% | 2385   | 11.141% | 1596   |  9.930% | 
 | 23   | Crabominable       |  1.49182% | 846    |  3.952% | 587    |  3.652% | 
 | 24   | Abomasnow          |  1.22146% | 1006   |  4.699% | 796    |  4.953% | 
 | 25   | Cryogonal          |  1.21544% | 1490   |  6.960% | 1005   |  6.253% | 
 | 26   | Silvally-Ice       |  0.48347% | 388    |  1.812% | 264    |  1.643% | 
 | 27   | Dewgong            |  0.22953% | 403    |  1.882% | 299    |  1.860% | 
 | 28   | Delibird           |  0.06890% | 260    |  1.214% | 216    |  1.344% | 
 | 29   | Sealeo             |  0.01065% | 101    |  0.472% | 55     |  0.342% | 
 | 30   | Sneasel            |  0.00546% | 54     |  0.252% | 39     |  0.243% | 
 | 31   | Bergmite           |  0.00216% | 21     |  0.098% | 18     |  0.112% | 
 | 32   | Glalie             |  0.00155% | 59     |  0.276% | 44     |  0.274% | 
 | 33   | Snover             |  0.00131% | 3      |  0.014% | 3      |  0.019% | 
 | 34   | Spheal             |  0.00109% | 1      |  0.005% | 1      |  0.006% | 
 | 35   | Sandshrew-Alola    |  0.00100% | 14     |  0.065% | 13     |  0.081% | 
 | 36   | Vulpix-Alola       |  0.00100% | 11     |  0.051% | 9      |  0.056% | 
 | 37   | Smoochum           |  0.00061% | 10     |  0.047% | 8      |  0.050% | 
 | 38   | Swinub             |  0.00056% | 18     |  0.084% | 18     |  0.112% | 
 | 39   | Snorunt            |  0.00056% | 2      |  0.009% | 2      |  0.012% | 
 | 40   | Vanillite          |  0.00056% | 2      |  0.009% | 2      |  0.012% | 
 | 41   | Vanillish          |  0.00000% | 5      |  0.023% | 4      |  0.025% | 
 | 42   | Amaura             |  0.00000% | 7      |  0.033% | 6      |  0.037% | 
 | 43   | Cubchoo            |  0.00000% | 1      |  0.005% | 1      |  0.006% | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
