 Total battles: 305364
 Avg. weight/team: 0.039
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Lopunny-Mega       | 72.84616% | 30331  | 66.526% | 23137  | 68.385% | 
 | 2    | Staraptor          | 63.63244% | 23216  | 50.920% | 17207  | 50.858% | 
 | 3    | Chansey            | 60.68120% | 22908  | 50.245% | 18085  | 53.453% | 
 | 4    | Ditto              | 48.97620% | 17388  | 38.137% | 12966  | 38.323% | 
 | 5    | Porygon2           | 47.83473% | 17741  | 38.912% | 13552  | 40.055% | 
 | 6    | Diggersby          | 45.48858% | 16329  | 35.815% | 11961  | 35.352% | 
 | 7    | Porygon-Z          | 42.25547% | 17598  | 38.598% | 12248  | 36.201% | 
 | 8    | Meloetta           | 24.86528% | 10443  | 22.905% | 7014   | 20.731% | 
 | 9    | Snorlax            | 17.63344% | 10482  | 22.990% | 7531   | 22.259% | 
 | 10   | Pidgeot-Mega       | 17.58340% | 8387   | 18.395% | 6233   | 18.422% | 
 | 11   | Smeargle           | 16.13431% | 7176   | 15.739% | 6610   | 19.537% | 
 | 12   | Heliolisk          | 11.45457% | 5768   | 12.651% | 4182   | 12.360% | 
 | 13   | Swellow            | 10.29961% | 4928   | 10.809% | 3497   | 10.336% | 
 | 14   | Bewear             |  9.10488% | 4653   | 10.206% | 3313   |  9.792% | 
 | 15   | Ambipom            |  8.80926% | 5816   | 12.756% | 4737   | 14.001% | 
 | 16   | Cinccino           |  8.72650% | 5218   | 11.445% | 3837   | 11.341% | 
 | 17   | Miltank            |  6.89832% | 3931   |  8.622% | 2964   |  8.761% | 
 | 18   | Blissey            |  6.38690% | 3556   |  7.799% | 2551   |  7.540% | 
 | 19   | Linoone            |  6.18444% | 3749   |  8.223% | 2782   |  8.223% | 
 | 20   | Pyroar             |  5.52073% | 3947   |  8.657% | 2736   |  8.087% | 
 | 21   | Exploud            |  5.38382% | 3243   |  7.113% | 2396   |  7.082% | 
 | 22   | Komala             |  4.86846% | 2508   |  5.501% | 1774   |  5.243% | 
 | 23   | Kecleon            |  4.53099% | 2510   |  5.505% | 2021   |  5.973% | 
 | 24   | Drampa             |  4.48935% | 3888   |  8.528% | 2593   |  7.664% | 
 | 25   | Tauros             |  3.98188% | 2647   |  5.806% | 1877   |  5.548% | 
 | 26   | Slaking            |  3.61119% | 2741   |  6.012% | 1977   |  5.843% | 
 | 27   | Silvally           |  2.73217% | 1445   |  3.169% | 1117   |  3.301% | 
 | 28   | Bibarel            |  2.69123% | 1799   |  3.946% | 1306   |  3.860% | 
 | 29   | Zangoose           |  2.66697% | 2091   |  4.586% | 1500   |  4.433% | 
 | 30   | Ursaring           |  2.49405% | 2030   |  4.452% | 1431   |  4.230% | 
 | 31   | Braviary           |  2.49047% | 1410   |  3.093% | 1014   |  2.997% | 
 | 32   | Chatot             |  2.06619% | 1127   |  2.472% | 898    |  2.654% | 
 | 33   | Type: Null         |  1.87630% | 881    |  1.932% | 689    |  2.036% | 
 | 34   | Audino-Mega        |  1.76779% | 1488   |  3.264% | 1032   |  3.050% | 
 | 35   | Lickilicky         |  1.63086% | 1192   |  2.614% | 860    |  2.542% | 
 | 36   | Dodrio             |  1.55741% | 1002   |  2.198% | 713    |  2.107% | 
 | 37   | Sawsbuck           |  1.44662% | 1514   |  3.321% | 1048   |  3.098% | 
 | 38   | Wigglytuff         |  1.41302% | 1275   |  2.796% | 974    |  2.879% | 
 | 39   | Oranguru           |  1.19542% | 941    |  2.064% | 664    |  1.963% | 
 | 40   | Bouffalant         |  1.18172% | 948    |  2.079% | 673    |  1.989% | 
 | 41   | Stoutland          |  1.17993% | 952    |  2.088% | 732    |  2.164% | 
 | 42   | Persian            |  1.16886% | 844    |  1.851% | 677    |  2.001% | 
 | 43   | Regigigas          |  1.10871% | 779    |  1.709% | 609    |  1.800% | 
 | 44   | Toucannon          |  0.95594% | 1044   |  2.290% | 763    |  2.255% | 
 | 45   | Purugly            |  0.80027% | 372    |  0.816% | 297    |  0.878% | 
 | 46   | Kangaskhan         |  0.73869% | 695    |  1.524% | 501    |  1.481% | 
 | 47   | Furfrou            |  0.72935% | 652    |  1.430% | 466    |  1.377% | 
 | 48   | Raticate-Alola     |  0.64429% | 509    |  1.116% | 340    |  1.005% | 
 | 49   | Noctowl            |  0.63187% | 512    |  1.123% | 380    |  1.123% | 
 | 50   | Raticate           |  0.59978% | 651    |  1.428% | 446    |  1.318% | 
 | 51   | Audino             |  0.53046% | 330    |  0.724% | 234    |  0.692% | 
 | 52   | Girafarig          |  0.46653% | 489    |  1.073% | 332    |  0.981% | 
