 Total battles: 305364
 Avg. weight/team: 0.059
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Muk-Alola          | 68.24941% | 24737  | 68.249% | 18753  | 69.421% | 
 | 2    | Crobat             | 62.26790% | 22569  | 62.268% | 16737  | 61.958% | 
 | 3    | Toxapex            | 59.03987% | 21399  | 59.040% | 16996  | 62.917% | 
 | 4    | Venusaur-Mega      | 56.27811% | 20398  | 56.278% | 15284  | 56.579% | 
 | 5    | Nidoking           | 48.66050% | 17637  | 48.661% | 13174  | 48.769% | 
 | 6    | Nihilego           | 43.39909% | 15730  | 43.399% | 11505  | 42.590% | 
 | 7    | Gengar             | 34.73858% | 12591  | 34.739% | 8469   | 31.351% | 
 | 8    | Beedrill-Mega      | 32.02373% | 11607  | 32.024% | 8523   | 31.551% | 
 | 9    | Salazzle           | 26.88371% | 9744   | 26.884% | 6809   | 25.206% | 
 | 10   | Scolipede          | 21.49814% | 7792   | 21.498% | 5492   | 20.331% | 
 | 11   | Tentacruel         | 20.46903% | 7419   | 20.469% | 5681   | 21.030% | 
 | 12   | Weezing            | 19.32680% | 7005   | 19.327% | 5772   | 21.367% | 
 | 13   | Drapion            | 15.50283% | 5619   | 15.503% | 4175   | 15.455% | 
 | 14   | Toxicroak          | 14.52338% | 5264   | 14.523% | 3797   | 14.056% | 
 | 15   | Dragalge           |  9.47165% | 3433   |  9.472% | 2525   |  9.347% | 
 | 16   | Nidoqueen          |  9.07160% | 3288   |  9.072% | 2697   |  9.984% | 
 | 17   | Amoonguss          |  8.84536% | 3206   |  8.845% | 2396   |  8.870% | 
 | 18   | Roserade           |  8.35426% | 3028   |  8.354% | 2210   |  8.181% | 
 | 19   | Ariados            |  5.66699% | 2054   |  5.667% | 1822   |  6.745% | 
 | 20   | Salazzle-Totem     |  4.87516% | 1767   |  4.875% | 1268   |  4.694% | 
 | 21   | Venomoth           |  4.34267% | 1574   |  4.343% | 1186   |  4.390% | 
 | 22   | Golbat             |  3.75776% | 1362   |  3.758% | 1050   |  3.887% | 
 | 23   | Skuntank           |  3.35495% | 1216   |  3.355% | 858    |  3.176% | 
 | 24   | Venusaur           |  2.40309% | 871    |  2.403% | 600    |  2.221% | 
 | 25   | Arbok              |  2.16857% | 786    |  2.169% | 565    |  2.092% | 
 | 26   | Vileplume          |  2.10236% | 762    |  2.102% | 484    |  1.792% | 
 | 27   | Seviper            |  1.72162% | 624    |  1.722% | 463    |  1.714% | 
 | 28   | Qwilfish           |  1.41537% | 513    |  1.415% | 420    |  1.555% | 
 | 29   | Garbodor           |  1.30225% | 472    |  1.302% | 356    |  1.318% | 
 | 30   | Dustox             |  1.16154% | 421    |  1.162% | 256    |  0.948% | 
 | 31   | Silvally-Poison    |  1.11740% | 405    |  1.117% | 276    |  1.022% | 
 | 32   | Whirlipede         |  1.11464% | 404    |  1.115% | 317    |  1.173% | 
 | 33   | Victreebel         |  1.01255% | 367    |  1.013% | 252    |  0.933% | 
 | 34   | Muk                |  0.75045% | 272    |  0.750% | 205    |  0.759% | 
 | 35   | Haunter            |  0.63457% | 230    |  0.635% | 170    |  0.629% | 
 | 36   | Swalot             |  0.55732% | 202    |  0.557% | 142    |  0.526% | 
 | 37   | Poipole            |  0.45248% | 164    |  0.452% | 94     |  0.348% | 
 | 38   | Beedrill           |  0.28142% | 102    |  0.281% | 64     |  0.237% | 
 | 39   | Roselia            |  0.13795% | 50     |  0.138% | 47     |  0.174% | 
 | 40   | Gloom              |  0.09932% | 36     |  0.099% | 27     |  0.100% | 
 | 41   | Koffing            |  0.08001% | 29     |  0.080% | 26     |  0.096% | 
 | 42   | Trubbish           |  0.06070% | 22     |  0.061% | 20     |  0.074% | 
 | 43   | Nidorina           |  0.04966% | 18     |  0.050% | 14     |  0.052% | 
 | 44   | Ivysaur            |  0.04690% | 17     |  0.047% | 14     |  0.052% | 
 | 45   | Venonat            |  0.03863% | 14     |  0.039% | 7      |  0.026% | 
 | 46   | Stunky             |  0.03587% | 13     |  0.036% | 9      |  0.033% | 
 | 47   | Gastly             |  0.02483% | 9      |  0.025% | 9      |  0.033% | 
 | 48   | Grimer-Alola       |  0.02483% | 9      |  0.025% | 9      |  0.033% | 
 | 49   | Mareanie           |  0.02483% | 9      |  0.025% | 8      |  0.030% | 
 | 50   | Tentacool          |  0.02483% | 9      |  0.025% | 8      |  0.030% | 
 | 51   | Nidorino           |  0.02207% | 8      |  0.022% | 7      |  0.026% | 
 | 52   | Spinarak           |  0.02207% | 8      |  0.022% | 7      |  0.026% | 
 | 53   | Salandit           |  0.01655% | 6      |  0.017% | 4      |  0.015% | 
 | 54   | Skorupi            |  0.01380% | 5      |  0.014% | 3      |  0.011% | 
 | 55   | Bellsprout         |  0.01104% | 4      |  0.011% | 4      |  0.015% | 
 | 56   | Bulbasaur          |  0.01104% | 4      |  0.011% | 4      |  0.015% | 
 | 57   | Gulpin             |  0.01104% | 4      |  0.011% | 4      |  0.015% | 
 | 58   | NidoranM           |  0.00552% | 2      |  0.006% | 2      |  0.007% | 
 | 59   | Croagunk           |  0.00276% | 1      |  0.003% | 1      |  0.004% | 
 | 60   | Ekans              |  0.00276% | 1      |  0.003% | 1      |  0.004% | 
 | 61   | Foongus            |  0.00276% | 1      |  0.003% | 0      |  0.000% | 
 | 62   | Skrelp             |  0.00276% | 1      |  0.003% | 1      |  0.004% | 
 | 63   | Zubat              |  0.00276% | 1      |  0.003% | 1      |  0.004% | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
