 Total battles: 305364
 Avg. weight/team: 0.027
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Victini            | 71.75502% | 17347  | 57.260% | 12832  | 57.221% | 
 | 2    | Gallade-Mega       | 49.29254% | 12629  | 41.687% | 9182   | 40.945% | 
 | 3    | Latios             | 49.05793% | 11584  | 38.237% | 8229   | 36.695% | 
 | 4    | Mew                | 47.97249% | 12587  | 41.548% | 9598   | 42.800% | 
 | 5    | Jirachi            | 40.35405% | 10024  | 33.088% | 8032   | 35.817% | 
 | 6    | Alakazam           | 40.28624% | 9906   | 32.698% | 6835   | 30.479% | 
 | 7    | Metagross          | 27.55443% | 9709   | 32.048% | 7475   | 33.333% | 
 | 8    | Deoxys-Speed       | 25.75368% | 5830   | 19.244% | 5439   | 24.254% | 
 | 9    | Meloetta           | 21.21832% | 5249   | 17.326% | 3694   | 16.472% | 
 | 10   | Slowbro            | 20.37417% | 5644   | 18.630% | 4250   | 18.952% | 
 | 11   | Alakazam-Mega      | 17.89230% | 6664   | 21.997% | 4621   | 20.606% | 
 | 12   | Gardevoir-Mega     | 16.90492% | 6019   | 19.868% | 4199   | 18.724% | 
 | 13   | Starmie            | 12.97253% | 4698   | 15.508% | 3255   | 14.515% | 
 | 14   | Malamar            | 11.61558% | 4864   | 16.055% | 3673   | 16.379% | 
 | 15   | Gardevoir          | 11.03985% | 3854   | 12.722% | 2552   | 11.380% | 
 | 16   | Espeon             | 10.38317% | 4722   | 15.587% | 3421   | 15.255% | 
 | 17   | Latias             | 10.13922% | 2574   |  8.496% | 1875   |  8.361% | 
 | 18   | Cresselia          |  8.63058% | 2375   |  7.840% | 1826   |  8.143% | 
 | 19   | Azelf              |  8.06686% | 2198   |  7.255% | 1935   |  8.629% | 
 | 20   | Celebi             |  7.16118% | 2275   |  7.509% | 1626   |  7.251% | 
 | 21   | Sigilyph           |  6.65230% | 2804   |  9.256% | 1992   |  8.883% | 
 | 22   | Slowbro-Mega       |  6.58776% | 1939   |  6.400% | 1481   |  6.604% | 
 | 23   | Medicham           |  6.56263% | 2780   |  9.176% | 2051   |  9.146% | 
 | 24   | Gallade            |  5.69151% | 2988   |  9.863% | 2139   |  9.538% | 
 | 25   | Delphox            |  5.63111% | 3021   |  9.972% | 2089   |  9.315% | 
 | 26   | Bronzong           |  5.61471% | 2552   |  8.424% | 2152   |  9.596% | 
 | 27   | Reuniclus          |  4.86945% | 2207   |  7.285% | 1576   |  7.028% | 
 | 28   | Raichu-Alola       |  4.84192% | 2630   |  8.681% | 1873   |  8.352% | 
 | 29   | Necrozma           |  4.75991% | 1386   |  4.575% | 989    |  4.410% | 
 | 30   | Deoxys-Defense     |  4.74216% | 1283   |  4.235% | 1123   |  5.008% | 
 | 31   | Claydol            |  3.95346% | 1587   |  5.238% | 1345   |  5.998% | 
 | 32   | Bruxish            |  3.77052% | 1401   |  4.625% | 1013   |  4.517% | 
 | 33   | Latias-Mega        |  3.46767% | 816    |  2.694% | 588    |  2.622% | 
 | 34   | Meowstic           |  2.82806% | 1148   |  3.789% | 949    |  4.232% | 
 | 35   | Latios-Mega        |  2.48744% | 926    |  3.057% | 632    |  2.818% | 
 | 36   | Slowking           |  2.38356% | 1177   |  3.885% | 862    |  3.844% | 
 | 37   | Uxie               |  2.18336% | 770    |  2.542% | 682    |  3.041% | 
 | 38   | Xatu               |  2.08633% | 1007   |  3.324% | 784    |  3.496% | 
 | 39   | Hoopa              |  1.61982% | 575    |  1.898% | 376    |  1.677% | 
 | 40   | Exeggutor          |  1.31597% | 936    |  3.090% | 642    |  2.863% | 
 | 41   | Swoobat            |  1.19051% | 719    |  2.373% | 509    |  2.270% | 
 | 42   | Jynx               |  0.89011% | 614    |  2.027% | 450    |  2.007% | 
 | 43   | Mr. Mime           |  0.85505% | 608    |  2.007% | 442    |  1.971% | 
 | 44   | Wobbuffet          |  0.65995% | 669    |  2.208% | 487    |  2.172% | 
 | 45   | Oranguru           |  0.60028% | 533    |  1.759% | 355    |  1.583% | 
 | 46   | Grumpig            |  0.53948% | 216    |  0.713% | 142    |  0.633% | 
 | 47   | Gothitelle         |  0.43614% | 322    |  1.063% | 208    |  0.928% | 
 | 48   | Hypno              |  0.40598% | 491    |  1.621% | 364    |  1.623% | 
 | 49   | Musharna           |  0.40113% | 354    |  1.169% | 258    |  1.150% | 
 | 50   | Girafarig          |  0.38072% | 321    |  1.060% | 211    |  0.941% | 
 | 51   | Kadabra            |  0.30029% | 96     |  0.317% | 67     |  0.299% | 
 | 52   | Solrock            |  0.27482% | 267    |  0.881% | 191    |  0.852% | 
 | 53   | Silvally-Psychic   |  0.26171% | 149    |  0.492% | 106    |  0.473% | 
 | 54   | Beheeyem           |  0.25284% | 224    |  0.739% | 164    |  0.731% | 
 | 55   | Mesprit            |  0.17964% | 94     |  0.310% | 73     |  0.326% | 
 | 56   | Lunatone           |  0.17312% | 164    |  0.541% | 121    |  0.540% | 
 | 57   | Oricorio-Pa'u      |  0.16521% | 93     |  0.307% | 54     |  0.241% | 
 | 58   | Abra               |  0.16285% | 56     |  0.185% | 38     |  0.169% | 
 | 59   | Chimecho           |  0.13986% | 213    |  0.703% | 147    |  0.656% | 
