 Total battles: 305364
 Avg. weight/team: 0.035
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Tyranitar          | 52.34357% | 11201  | 52.344% | 8185   | 53.509% | 
 | 2    | Diancie-Mega       | 50.99304% | 10912  | 50.993% | 8331   | 54.463% | 
 | 3    | Cradily            | 47.57232% | 10180  | 47.572% | 6749   | 44.121% | 
 | 4    | Nihilego           | 42.22627% | 9036   | 42.226% | 6348   | 41.500% | 
 | 5    | Terrakion          | 38.51115% | 8241   | 38.511% | 5353   | 34.995% | 
 | 6    | Shuckle            | 35.13248% | 7518   | 35.132% | 6480   | 42.363% | 
 | 7    | Omastar            | 25.32361% | 5419   | 25.324% | 3704   | 24.215% | 
 | 8    | Aerodactyl-Mega    | 24.02916% | 5142   | 24.029% | 3597   | 23.515% | 
 | 9    | Lycanroc-Dusk      | 23.04781% | 4932   | 23.048% | 3361   | 21.972% | 
 | 10   | Rhyperior          | 23.04313% | 4931   | 23.043% | 3296   | 21.547% | 
 | 11   | Golem-Alola        | 19.62709% | 4200   | 19.627% | 3015   | 19.710% | 
 | 12   | Gigalith           | 19.50091% | 4173   | 19.501% | 3411   | 22.299% | 
 | 13   | Minior             | 18.89808% | 4044   | 18.898% | 2856   | 18.671% | 
 | 14   | Stakataka          | 18.57563% | 3975   | 18.576% | 2928   | 19.142% | 
 | 15   | Tyrantrum          | 17.76719% | 3802   | 17.767% | 2443   | 15.971% | 
 | 16   | Tyranitar-Mega     | 15.76709% | 3374   | 15.767% | 2381   | 15.566% | 
 | 17   | Magcargo           | 10.99584% | 2353   | 10.996% | 1623   | 10.610% | 
 | 18   | Carracosta         |  8.47236% | 1813   |  8.472% | 1145   |  7.485% | 
 | 19   | Barbaracle         |  8.16393% | 1747   |  8.164% | 1189   |  7.773% | 
 | 20   | Archeops           |  7.72466% | 1653   |  7.725% | 1195   |  7.812% | 
 | 21   | Aurorus            |  7.35548% | 1574   |  7.355% | 1091   |  7.132% | 
 | 22   | Aerodactyl         |  7.22464% | 1546   |  7.225% | 1138   |  7.440% | 
 | 23   | Aggron             |  6.02832% | 1290   |  6.028% | 974    |  6.367% | 
 | 24   | Rampardos          |  5.84607% | 1251   |  5.846% | 816    |  5.335% | 
 | 25   | Lycanroc           |  5.76195% | 1233   |  5.762% | 858    |  5.609% | 
 | 26   | Kabutops           |  5.67316% | 1214   |  5.673% | 861    |  5.629% | 
 | 27   | Armaldo            |  5.35072% | 1145   |  5.351% | 844    |  5.518% | 
 | 28   | Diancie            |  4.92546% | 1054   |  4.925% | 757    |  4.949% | 
 | 29   | Regirock           |  4.85069% | 1038   |  4.851% | 718    |  4.694% | 
 | 30   | Probopass          |  3.93476% | 842    |  3.935% | 635    |  4.151% | 
 | 31   | Lunatone           |  3.81794% | 817    |  3.818% | 632    |  4.132% | 
 | 32   | Golem              |  3.64970% | 781    |  3.650% | 611    |  3.994% | 
 | 33   | Bastiodon          |  3.25716% | 697    |  3.257% | 551    |  3.602% | 
 | 34   | Crustle            |  3.21043% | 687    |  3.210% | 466    |  3.046% | 
 | 35   | Sudowoodo          |  2.97677% | 637    |  2.977% | 478    |  3.125% | 
 | 36   | Rhydon             |  2.95808% | 633    |  2.958% | 442    |  2.890% | 
 | 37   | Solrock            |  2.88799% | 618    |  2.888% | 503    |  3.288% | 
 | 38   | Lycanroc-Midnight  |  2.85995% | 612    |  2.860% | 418    |  2.733% | 
 | 39   | Carbink            |  1.98607% | 425    |  1.986% | 367    |  2.399% | 
 | 40   | Relicanth          |  1.34586% | 288    |  1.346% | 196    |  1.281% | 
 | 41   | Nosepass           |  0.92528% | 198    |  0.925% | 161    |  1.053% | 
 | 42   | Silvally-Rock      |  0.86920% | 186    |  0.869% | 110    |  0.719% | 
 | 43   | Onix               |  0.72901% | 156    |  0.729% | 131    |  0.856% | 
 | 44   | Aron               |  0.65891% | 141    |  0.659% | 105    |  0.686% | 
 | 45   | Corsola            |  0.51404% | 110    |  0.514% | 72     |  0.471% | 
 | 46   | Graveler-Alola     |  0.40189% | 86     |  0.402% | 66     |  0.431% | 
 | 47   | Lairon             |  0.25235% | 54     |  0.252% | 39     |  0.255% | 
 | 48   | Lileep             |  0.25235% | 54     |  0.252% | 32     |  0.209% | 
 | 49   | Pupitar            |  0.25235% | 54     |  0.252% | 28     |  0.183% | 
 | 50   | Omanyte            |  0.16823% | 36     |  0.168% | 29     |  0.190% | 
 | 51   | Geodude            |  0.07944% | 17     |  0.079% | 10     |  0.065% | 
 | 52   | Rockruff           |  0.07477% | 16     |  0.075% | 8      |  0.052% | 
 | 53   | Graveler           |  0.06542% | 14     |  0.065% | 11     |  0.072% | 
 | 54   | Bonsly             |  0.05608% | 12     |  0.056% | 6      |  0.039% | 
 | 55   | Dwebble            |  0.02804% | 6      |  0.028% | 4      |  0.026% | 
 | 56   | Shieldon           |  0.02804% | 6      |  0.028% | 6      |  0.039% | 
 | 57   | Anorith            |  0.01869% | 4      |  0.019% | 4      |  0.026% | 
 | 58   | Rhyhorn            |  0.01869% | 4      |  0.019% | 4      |  0.026% | 
 | 59   | Tyrunt             |  0.01869% | 4      |  0.019% | 4      |  0.026% | 
 | 60   | Boldore            |  0.00935% | 2      |  0.009% | 2      |  0.013% | 
 | 61   | Aggron-Mega        |  0.00467% | 1      |  0.005% | 1      |  0.007% | 
 | 62   | Cranidos           |  0.00467% | 1      |  0.005% | 0      |  0.000% | 
 | 63   | Kabuto             |  0.00467% | 1      |  0.005% | 0      |  0.000% | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
