 Total battles: 305364
 Avg. weight/team: 0.087
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Pelipper           | 52.73140% | 28109  | 52.731% | 24797  | 63.742% | 
 | 2    | Swampert-Mega      | 52.35058% | 27906  | 52.351% | 21650  | 55.653% | 
 | 3    | Greninja           | 40.69898% | 21695  | 40.699% | 14732  | 37.870% | 
 | 4    | Kingdra            | 31.95138% | 17032  | 31.951% | 11839  | 30.433% | 
 | 5    | Toxapex            | 30.81829% | 16428  | 30.818% | 12434  | 31.962% | 
 | 6    | Azumarill          | 29.17870% | 15554  | 29.179% | 11186  | 28.754% | 
 | 7    | Rotom-Wash         | 22.18324% | 11825  | 22.183% | 8701   | 22.366% | 
 | 8    | Keldeo             | 21.58294% | 11505  | 21.583% | 7554   | 19.418% | 
 | 9    | Cloyster           | 17.66218% | 9415   | 17.662% | 6792   | 17.459% | 
 | 10   | Gyarados-Mega      | 16.76922% | 8939   | 16.769% | 6487   | 16.675% | 
 | 11   | Politoed           | 16.35651% | 8719   | 16.357% | 7209   | 18.531% | 
 | 12   | Gyarados           | 16.18017% | 8625   | 16.180% | 6026   | 15.490% | 
 | 13   | Lanturn            | 13.83334% | 7374   | 13.833% | 5254   | 13.506% | 
 | 14   | Ludicolo           | 13.45627% | 7173   | 13.456% | 4938   | 12.693% | 
 | 15   | Volcanion          | 12.75091% | 6797   | 12.751% | 4600   | 11.825% | 
 | 16   | Tapu Fini          | 12.51079% | 6669   | 12.511% | 4524   | 11.629% | 
 | 17   | Tentacruel         | 11.25952% | 6002   | 11.260% | 4436   | 11.403% | 
 | 18   | Sharpedo-Mega      | 11.06817% | 5900   | 11.068% | 3921   | 10.079% | 
 | 19   | Manaphy            | 10.31591% | 5499   | 10.316% | 3662   |  9.413% | 
 | 20   | Empoleon           | 10.23712% | 5457   | 10.237% | 4346   | 11.172% | 
 | 21   | Starmie            |  9.73249% | 5188   |  9.732% | 3553   |  9.133% | 
 | 22   | Swampert           |  9.61993% | 5128   |  9.620% | 4186   | 10.760% | 
 | 23   | Seismitoad         |  8.11729% | 4327   |  8.117% | 3396   |  8.730% | 
 | 24   | Mantine            |  6.81349% | 3632   |  6.813% | 2409   |  6.192% | 
 | 25   | Quagsire           |  6.56962% | 3502   |  6.570% | 2609   |  6.707% | 
 | 26   | Araquanid          |  6.17942% | 3294   |  6.179% | 2455   |  6.311% | 
 | 27   | Blastoise-Mega     |  6.11751% | 3261   |  6.118% | 2160   |  5.552% | 
 | 28   | Feraligatr         |  5.68416% | 3030   |  5.684% | 1951   |  5.015% | 
 | 29   | Milotic            |  5.55285% | 2960   |  5.553% | 1954   |  5.023% | 
 | 30   | Gastrodon          |  5.22268% | 2784   |  5.223% | 1900   |  4.884% | 
 | 31   | Primarina          |  5.03508% | 2684   |  5.035% | 1768   |  4.545% | 
 | 32   | Golisopod          |  4.93190% | 2629   |  4.932% | 1908   |  4.905% | 
 | 33   | Vaporeon           |  4.83998% | 2580   |  4.840% | 1807   |  4.645% | 
