 Total leads: 610728
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Sableye-Mega       | 29.81929% | 5550   | 15.051% | 
 | 2    | Krookodile         | 29.22278% | 4371   | 11.854% | 
 | 3    | Greninja           |  9.22926% | 3317   |  8.995% | 
 | 4    | Tyranitar          |  7.91438% | 2257   |  6.121% | 
 | 5    | Hydreigon          |  6.62621% | 1921   |  5.210% | 
 | 6    | Bisharp            |  3.67014% | 2077   |  5.633% | 
 | 7    | Muk-Alola          |  3.30283% | 2011   |  5.454% | 
 | 8    | Mandibuzz          |  2.34702% | 976    |  2.647% | 
 | 9    | Tyranitar-Mega     |  2.16754% | 1348   |  3.656% | 
 | 10   | Weavile            |  1.76641% | 1889   |  5.123% | 
 | 11   | Houndoom-Mega      |  0.75547% | 399    |  1.082% | 
 | 12   | Zoroark            |  0.49200% | 1052   |  2.853% | 
 | 13   | Pangoro            |  0.39340% | 118    |  0.320% | 
 | 14   | Sharpedo-Mega      |  0.28243% | 528    |  1.432% | 
 | 15   | Crawdaunt          |  0.26475% | 336    |  0.911% | 
 | 16   | Incineroar         |  0.19505% | 349    |  0.946% | 
 | 17   | Cacturne           |  0.18811% | 181    |  0.491% | 
 | 18   | Persian-Alola      |  0.16149% | 664    |  1.801% | 
 | 19   | Murkrow            |  0.14053% | 139    |  0.377% | 
 | 20   | Absol-Mega         |  0.13686% | 839    |  2.275% | 
 | 21   | Sableye            |  0.13386% | 811    |  2.199% | 
 | 22   | Liepard            |  0.10620% | 608    |  1.649% | 
 | 23   | Umbreon            |  0.10329% | 785    |  2.129% | 
 | 24   | Malamar            |  0.09988% | 724    |  1.963% | 
 | 25   | Drapion            |  0.09621% | 1019   |  2.763% | 
 | 26   | Spiritomb          |  0.08362% | 353    |  0.957% | 
 | 27   | Houndoom           |  0.08348% | 273    |  0.740% | 
 | 28   | Scrafty            |  0.07296% | 584    |  1.584% | 
 | 29   | Honchkrow          |  0.05984% | 452    |  1.226% | 
 | 30   | Sharpedo           |  0.05599% | 311    |  0.843% | 
 | 31   | Mightyena          |  0.00923% | 57     |  0.155% | 
 | 32   | Silvally-Dark      |  0.00776% | 107    |  0.290% | 
 | 33   | Absol              |  0.00348% | 67     |  0.182% | 
 | 34   | Guzzlord           |  0.00222% | 76     |  0.206% | 
 | 35   | Raticate-Alola     |  0.00201% | 43     |  0.117% | 
 | 36   | Shiftry            |  0.00142% | 116    |  0.315% | 
 | 37   | Sneasel            |  0.00132% | 13     |  0.035% | 
 | 38   | Pawniard           |  0.00046% | 7      |  0.019% | 
 | 39   | Krokorok           |  0.00032% | 8      |  0.022% | 
 | 40   | Skuntank           |  0.00018% | 49     |  0.133% | 
 | 41   | Rattata-Alola      |  0.00010% | 22     |  0.060% | 
 | 42   | Stunky             |  0.00010% | 1      |  0.003% | 
 | 43   | Scraggy            |  0.00004% | 23     |  0.062% | 
 | 44   | Zweilous           |  0.00002% | 6      |  0.016% | 
 | 45   | Carvanha           |  0.00002% | 22     |  0.060% | 
 | 46   | Raticate-Alola-Totem |  0.00000% | 5      |  0.014% | 
 | 47   | Zorua              |  0.00000% | 1      |  0.003% | 
 | 48   | Purrloin           |  0.00000% | 1      |  0.003% | 
 | 49   | Poochyena          |  0.00000% | 4      |  0.011% | 
 | 50   | Houndour           |  0.00000% | 1      |  0.003% | 
 | 51   | Vullaby            |  0.00000% | 3      |  0.008% | 
 + ---- + ------------------ + --------- + ------ + ------- + 
