 Total leads: 610728
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Garchomp           | 33.16379% | 8806   | 27.777% | 
 | 2    | Kommo-o            |  9.96341% | 2976   |  9.387% | 
 | 3    | Kyurem-Black       |  9.50536% | 2358   |  7.438% | 
 | 4    | Dragonite          |  7.99951% | 2567   |  8.097% | 
 | 5    | Hydreigon          |  5.03807% | 1592   |  5.022% | 
 | 6    | Altaria-Mega       |  4.48881% | 1431   |  4.514% | 
 | 7    | Goodra             |  4.40688% | 1541   |  4.861% | 
 | 8    | Latios             |  3.86396% | 1050   |  3.312% | 
 | 9    | Tyrantrum          |  3.74116% | 1129   |  3.561% | 
 | 10   | Dragalge           |  3.16373% | 1273   |  4.015% | 
 | 11   | Salamence          |  2.30521% | 1033   |  3.258% | 
 | 12   | Druddigon          |  2.09491% | 843    |  2.659% | 
 | 13   | Kingdra            |  1.51887% | 792    |  2.498% | 
 | 14   | Haxorus            |  1.43788% | 745    |  2.350% | 
 | 15   | Noivern            |  1.18015% | 589    |  1.858% | 
 | 16   | Garchomp-Mega      |  1.04457% | 479    |  1.511% | 
 | 17   | Turtonator         |  0.90427% | 472    |  1.489% | 
 | 18   | Latios-Mega        |  0.82950% | 267    |  0.842% | 
 | 19   | Latias             |  0.69824% | 270    |  0.852% | 
 | 20   | Flygon             |  0.59107% | 312    |  0.984% | 
 | 21   | Kommo-o-Totem      |  0.49983% | 245    |  0.773% | 
 | 22   | Latias-Mega        |  0.47306% | 171    |  0.539% | 
 | 23   | Exeggutor-Alola    |  0.27999% | 229    |  0.722% | 
 | 24   | Silvally-Dragon    |  0.18817% | 80     |  0.252% | 
 | 25   | Kyurem             |  0.16900% | 81     |  0.255% | 
 | 26   | Drampa             |  0.16231% | 130    |  0.410% | 
 | 27   | Dragonair          |  0.06596% | 49     |  0.155% | 
 | 28   | Guzzlord           |  0.06052% | 85     |  0.268% | 
 | 29   | Sliggoo            |  0.05255% | 20     |  0.063% | 
 | 30   | Shelgon            |  0.03633% | 28     |  0.088% | 
 | 31   | Altaria            |  0.03534% | 30     |  0.095% | 
 | 32   | Gible              |  0.02024% | 9      |  0.028% | 
 | 33   | Tyrunt             |  0.00520% | 7      |  0.022% | 
 | 34   | Hakamo-o           |  0.00441% | 2      |  0.006% | 
 | 35   | Fraxure            |  0.00270% | 2      |  0.006% | 
 | 36   | Zweilous           |  0.00230% | 1      |  0.003% | 
 | 37   | Noibat             |  0.00197% | 1      |  0.003% | 
 | 38   | Bagon              |  0.00048% | 3      |  0.009% | 
 | 39   | Dratini            |  0.00016% | 1      |  0.003% | 
 | 40   | Gabite             |  0.00015% | 2      |  0.006% | 
 | 41   | Axew               |  0.00000% | 2      |  0.006% | 
 + ---- + ------------------ + --------- + ------ + ------- + 
