 Total leads: 610728
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Tapu Koko          | 26.14141% | 8245   | 26.141% | 
 | 2    | Galvantula         | 14.93659% | 4711   | 14.937% | 
 | 3    | Golem-Alola        | 12.65060% | 3990   | 12.651% | 
 | 4    | Rotom-Wash         |  7.11477% | 2244   |  7.115% | 
 | 5    | Manectric-Mega     |  5.39632% | 1702   |  5.396% | 
 | 6    | Zapdos             |  4.07419% | 1285   |  4.074% | 
 | 7    | Magnezone          |  3.67470% | 1159   |  3.675% | 
 | 8    | Xurkitree          |  2.90742% | 917    |  2.907% | 
 | 9    | Eelektross         |  2.75840% | 870    |  2.758% | 
 | 10   | Electivire         |  2.19404% | 692    |  2.194% | 
 | 11   | Thundurus          |  2.19404% | 692    |  2.194% | 
 | 12   | Raichu-Alola       |  1.45847% | 460    |  1.458% | 
 | 13   | Electrode          |  1.07166% | 338    |  1.072% | 
 | 14   | Thundurus-Therian  |  1.07166% | 338    |  1.072% | 
 | 15   | Jolteon            |  1.05897% | 334    |  1.059% | 
 | 16   | Stunfisk           |  1.05897% | 334    |  1.059% | 
 | 17   | Ampharos-Mega      |  1.01458% | 320    |  1.015% | 
 | 18   | Togedemaru         |  0.98922% | 312    |  0.989% | 
 | 19   | Pikachu            |  0.86557% | 273    |  0.866% | 
 | 20   | Luxray             |  0.85289% | 269    |  0.853% | 
 | 21   | Raikou             |  0.71338% | 225    |  0.713% | 
 | 22   | Lanturn            |  0.65948% | 208    |  0.659% | 
 | 23   | Raichu             |  0.61192% | 193    |  0.612% | 
 | 24   | Vikavolt           |  0.52315% | 165    |  0.523% | 
 | 25   | Rotom-Heat         |  0.45656% | 144    |  0.457% | 
 | 26   | Heliolisk          |  0.44388% | 140    |  0.444% | 
 | 27   | Emolga             |  0.39315% | 124    |  0.393% | 
 | 28   | Zebstrika          |  0.35510% | 112    |  0.355% | 
 | 29   | Pachirisu          |  0.29169% | 92     |  0.292% | 
 | 30   | Rotom-Mow          |  0.26950% | 85     |  0.269% | 
 | 31   | Oricorio-Pom-Pom   |  0.21877% | 69     |  0.219% | 
 | 32   | Rotom-Frost        |  0.20292% | 64     |  0.203% | 
 | 33   | Magneton           |  0.19975% | 63     |  0.200% | 
 | 34   | Rotom              |  0.18706% | 59     |  0.187% | 
 | 35   | Dedenne            |  0.14268% | 45     |  0.143% | 
 | 36   | Vikavolt-Totem     |  0.12682% | 40     |  0.127% | 
 | 37   | Silvally-Electric  |  0.12048% | 38     |  0.120% | 
 | 38   | Graveler-Alola     |  0.11097% | 35     |  0.111% | 
 | 39   | Ampharos           |  0.09512% | 30     |  0.095% | 
 | 40   | Minun              |  0.06024% | 19     |  0.060% | 
 | 41   | Togedemaru-Totem   |  0.06024% | 19     |  0.060% | 
 | 42   | Electabuzz         |  0.04756% | 15     |  0.048% | 
 | 43   | Charjabug          |  0.02854% | 9      |  0.029% | 
 | 44   | Magnemite          |  0.02854% | 9      |  0.029% | 
 | 45   | Manectric          |  0.02854% | 9      |  0.029% | 
 | 46   | Plusle             |  0.02219% | 7      |  0.022% | 
 | 47   | Pichu              |  0.01902% | 6      |  0.019% | 
 | 48   | Rotom-Fan          |  0.01902% | 6      |  0.019% | 
 | 49   | Flaaffy            |  0.00951% | 3      |  0.010% | 
 | 50   | Tynamo             |  0.00951% | 3      |  0.010% | 
 | 51   | Elekid             |  0.00634% | 2      |  0.006% | 
 | 52   | Joltik             |  0.00634% | 2      |  0.006% | 
 | 53   | Pikachu-Alola      |  0.00634% | 2      |  0.006% | 
 | 54   | Pikachu-Hoenn      |  0.00634% | 2      |  0.006% | 
 | 55   | Pikachu-Original   |  0.00634% | 2      |  0.006% | 
 | 56   | Pikachu-Partner    |  0.00634% | 2      |  0.006% | 
 | 57   | Blitzle            |  0.00317% | 1      |  0.003% | 
 | 58   | Chinchou           |  0.00317% | 1      |  0.003% | 
 | 59   | Eelektrik          |  0.00317% | 1      |  0.003% | 
 | 60   | Geodude-Alola      |  0.00317% | 1      |  0.003% | 
 | 61   | Mareep             |  0.00317% | 1      |  0.003% | 
 | 62   | Pikachu-Unova      |  0.00317% | 1      |  0.003% | 
 | 63   | Voltorb            |  0.00317% | 1      |  0.003% | 
 + ---- + ------------------ + --------- + ------ + ------- + 
