 Total leads: 610728
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Diancie-Mega       | 20.50005% | 5859   | 17.763% | 
 | 2    | Klefki             | 16.53155% | 5210   | 15.795% | 
 | 3    | Tapu Koko          | 14.93869% | 3512   | 10.647% | 
 | 4    | Ribombee           |  7.26110% | 2285   |  6.927% | 
 | 5    | Clefable           |  7.24814% | 2327   |  7.055% | 
 | 6    | Azumarill          |  5.18402% | 1765   |  5.351% | 
 | 7    | Ninetales-Alola    |  4.91952% | 1858   |  5.633% | 
 | 8    | Tapu Bulu          |  4.36480% | 1116   |  3.383% | 
 | 9    | Togekiss           |  3.94840% | 1725   |  5.230% | 
 | 10   | Mimikyu            |  2.56030% | 1341   |  4.065% | 
 | 11   | Slurpuff           |  2.30284% | 787    |  2.386% | 
 | 12   | Tapu Fini          |  1.88518% | 619    |  1.877% | 
 | 13   | Whimsicott         |  1.03054% | 490    |  1.486% | 
 | 14   | Gardevoir-Mega     |  0.97151% | 501    |  1.519% | 
 | 15   | Carbink            |  0.84429% | 373    |  1.131% | 
 | 16   | Sylveon            |  0.82784% | 650    |  1.971% | 
 | 17   | Primarina          |  0.76513% | 364    |  1.104% | 
 | 18   | Comfey             |  0.47981% | 197    |  0.597% | 
 | 19   | Gardevoir          |  0.46243% | 194    |  0.588% | 
 | 20   | Diancie            |  0.43972% | 225    |  0.682% | 
 | 21   | Mimikyu-Totem      |  0.40437% | 161    |  0.488% | 
 | 22   | Granbull           |  0.39273% | 194    |  0.588% | 
 | 23   | Mawile             |  0.32133% | 278    |  0.843% | 
 | 24   | Mr. Mime           |  0.21588% | 144    |  0.437% | 
 | 25   | Dedenne            |  0.20924% | 154    |  0.467% | 
 | 26   | Silvally-Fairy     |  0.18816% | 116    |  0.352% | 
 | 27   | Florges            |  0.18740% | 142    |  0.430% | 
 | 28   | Shiinotic          |  0.17165% | 123    |  0.373% | 
 | 29   | Cottonee           |  0.15046% | 65     |  0.197% | 
 | 30   | Wigglytuff         |  0.13597% | 97     |  0.294% | 
 | 31   | Togetic            |  0.04778% | 17     |  0.052% | 
 | 32   | Aromatisse         |  0.03096% | 35     |  0.106% | 
 | 33   | Swirlix            |  0.02784% | 7      |  0.021% | 
 | 34   | Clefairy           |  0.02144% | 14     |  0.042% | 
 | 35   | Cleffa             |  0.00601% | 2      |  0.006% | 
 | 36   | Cutiefly           |  0.00566% | 3      |  0.009% | 
 | 37   | Marill             |  0.00525% | 2      |  0.006% | 
 | 38   | Ribombee-Totem     |  0.00501% | 7      |  0.021% | 
 | 39   | Ralts              |  0.00368% | 9      |  0.027% | 
 | 40   | Spritzee           |  0.00165% | 3      |  0.009% | 
 | 41   | Floette            |  0.00159% | 1      |  0.003% | 
 | 42   | Mime Jr.           |  0.00008% | 10     |  0.030% | 
 | 43   | Igglybuff          |  0.00001% | 2      |  0.006% | 
 | 44   | Flabebe            |  0.00000% | 1      |  0.003% | 
 + ---- + ------------------ + --------- + ------ + ------- + 
