 Total leads: 610728
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Infernape          | 15.73822% | 4800   | 15.738% | 
 | 2    | Cobalion           | 13.37749% | 4080   | 13.377% | 
 | 3    | Breloom            |  8.44946% | 2577   |  8.449% | 
 | 4    | Kommo-o            |  6.36742% | 1942   |  6.367% | 
 | 5    | Keldeo             |  5.79691% | 1768   |  5.797% | 
 | 6    | Hawlucha           |  5.63953% | 1720   |  5.640% | 
 | 7    | Terrakion          |  5.53461% | 1688   |  5.535% | 
 | 8    | Gallade-Mega       |  3.87226% | 1181   |  3.872% | 
 | 9    | Conkeldurr         |  3.49848% | 1067   |  3.498% | 
 | 10   | Scrafty            |  3.40339% | 1038   |  3.403% | 
 | 11   | Lucario            |  3.30503% | 1008   |  3.305% | 
 | 12   | Machamp            |  2.70173% | 824    |  2.702% | 
 | 13   | Mienshao           |  1.84596% | 563    |  1.846% | 
 | 14   | Heracross-Mega     |  1.81645% | 554    |  1.816% | 
 | 15   | Buzzwole           |  1.63284% | 498    |  1.633% | 
 | 16   | Toxicroak          |  1.51480% | 462    |  1.515% | 
 | 17   | Heracross          |  1.43611% | 438    |  1.436% | 
 | 18   | Hitmonlee          |  1.38037% | 421    |  1.380% | 
 | 19   | Hitmontop          |  1.24922% | 381    |  1.249% | 
 | 20   | Hitmonchan         |  1.12463% | 343    |  1.125% | 
 | 21   | Pangoro            |  0.96724% | 295    |  0.967% | 
 | 22   | Hariyama           |  0.90495% | 276    |  0.905% | 
 | 23   | Bewear             |  0.85904% | 262    |  0.859% | 
 | 24   | Sawk               |  0.83609% | 255    |  0.836% | 
 | 25   | Chesnaught         |  0.81642% | 249    |  0.816% | 
 | 26   | Poliwrath          |  0.81314% | 248    |  0.813% | 
 | 27   | Emboar             |  0.68199% | 208    |  0.682% | 
 | 28   | Medicham           |  0.56395% | 172    |  0.564% | 
 | 29   | Kommo-o-Totem      |  0.54428% | 166    |  0.544% | 
 | 30   | Primeape           |  0.54100% | 165    |  0.541% | 
 | 31   | Virizion           |  0.48854% | 149    |  0.489% | 
 | 32   | Crabominable       |  0.44264% | 135    |  0.443% | 
 | 33   | Gallade            |  0.40329% | 123    |  0.403% | 
 | 34   | Combusken          |  0.32788% | 100    |  0.328% | 
 | 35   | Throh              |  0.27870% | 85     |  0.279% | 
 | 36   | Silvally-Fighting  |  0.21968% | 67     |  0.220% | 
 | 37   | Passimian          |  0.21312% | 65     |  0.213% | 
 | 38   | Machoke            |  0.10164% | 31     |  0.102% | 
 | 39   | Monferno           |  0.05902% | 18     |  0.059% | 
 | 40   | Gurdurr            |  0.03607% | 11     |  0.036% | 
 | 41   | Stufful            |  0.02951% | 9      |  0.030% | 
 | 42   | Scraggy            |  0.02623% | 8      |  0.026% | 
 | 43   | Timburr            |  0.02623% | 8      |  0.026% | 
 | 44   | Pignite            |  0.02295% | 7      |  0.023% | 
 | 45   | Hakamo-o           |  0.01967% | 6      |  0.020% | 
 | 46   | Riolu              |  0.01967% | 6      |  0.020% | 
 | 47   | Meditite           |  0.01639% | 5      |  0.016% | 
 | 48   | Crabrawler         |  0.00984% | 3      |  0.010% | 
 | 49   | Croagunk           |  0.00984% | 3      |  0.010% | 
 | 50   | Mankey             |  0.00984% | 3      |  0.010% | 
 | 51   | Mienfoo            |  0.00984% | 3      |  0.010% | 
 | 52   | Pancham            |  0.00656% | 2      |  0.007% | 
 | 53   | Tyrogue            |  0.00656% | 2      |  0.007% | 
 | 54   | Makuhita           |  0.00328% | 1      |  0.003% | 
 + ---- + ------------------ + --------- + ------ + ------- + 
