 Total leads: 610728
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Torkoal            | 35.24613% | 8629   | 25.279% | 
 | 2    | Infernape          | 16.26500% | 3408   |  9.984% | 
 | 3    | Heatran            | 11.23076% | 3028   |  8.871% | 
 | 4    | Charizard-Mega-Y   |  8.12307% | 2740   |  8.027% | 
 | 5    | Rotom-Heat         |  6.87689% | 2038   |  5.970% | 
 | 6    | Volcanion          |  3.75706% | 1455   |  4.262% | 
 | 7    | Blacephalon        |  3.73634% | 1013   |  2.968% | 
 | 8    | Victini            |  3.15028% | 1281   |  3.753% | 
 | 9    | Charizard-Mega-X   |  2.45481% | 1384   |  4.054% | 
 | 10   | Volcarona          |  1.85974% | 1249   |  3.659% | 
 | 11   | Ninetales          |  1.25900% | 1621   |  4.749% | 
 | 12   | Darmanitan         |  1.12425% | 916    |  2.683% | 
 | 13   | Entei              |  0.93405% | 254    |  0.744% | 
 | 14   | Marowak-Alola      |  0.68731% | 643    |  1.884% | 
 | 15   | Monferno           |  0.54529% | 36     |  0.105% | 
 | 16   | Arcanine           |  0.52557% | 561    |  1.643% | 
 | 17   | Talonflame         |  0.29177% | 373    |  1.093% | 
 | 18   | Salazzle           |  0.27082% | 362    |  1.060% | 
 | 19   | Incineroar         |  0.22622% | 383    |  1.122% | 
 | 20   | Combusken          |  0.16728% | 67     |  0.196% | 
 | 21   | Typhlosion         |  0.15782% | 172    |  0.504% | 
 | 22   | Delphox            |  0.11968% | 187    |  0.548% | 
 | 23   | Moltres            |  0.11058% | 170    |  0.498% | 
 | 24   | Turtonator         |  0.10941% | 192    |  0.562% | 
 | 25   | Chandelure         |  0.10198% | 390    |  1.143% | 
 | 26   | Emboar             |  0.10084% | 170    |  0.498% | 
 | 27   | Camerupt           |  0.07636% | 168    |  0.492% | 
 | 28   | Salazzle-Totem     |  0.06791% | 70     |  0.205% | 
 | 29   | Lampent            |  0.05633% | 9      |  0.026% | 
 | 30   | Houndoom-Mega      |  0.04774% | 84     |  0.246% | 
 | 31   | Magcargo           |  0.04300% | 152    |  0.445% | 
 | 32   | Pyroar             |  0.03953% | 93     |  0.272% | 
 | 33   | Camerupt-Mega      |  0.03807% | 85     |  0.249% | 
 | 34   | Rapidash           |  0.03171% | 64     |  0.187% | 
 | 35   | Charizard          |  0.03033% | 59     |  0.173% | 
 | 36   | Silvally-Fire      |  0.02741% | 90     |  0.264% | 
 | 37   | Flareon            |  0.02668% | 132    |  0.387% | 
 | 38   | Marowak-Alola-Totem |  0.02393% | 81     |  0.237% | 
 | 39   | Houndoom           |  0.01651% | 85     |  0.249% | 
 | 40   | Magmortar          |  0.01512% | 86     |  0.252% | 
 | 41   | Oricorio           |  0.00955% | 27     |  0.079% | 
 | 42   | Heatmor            |  0.00350% | 25     |  0.073% | 
 | 43   | Chimchar           |  0.00260% | 6      |  0.018% | 
 | 44   | Torchic            |  0.00220% | 2      |  0.006% | 
 | 45   | Magmar             |  0.00211% | 14     |  0.041% | 
 | 46   | Braixen            |  0.00153% | 16     |  0.047% | 
 | 47   | Magby              |  0.00116% | 1      |  0.003% | 
 | 48   | Ponyta             |  0.00115% | 2      |  0.006% | 
 | 49   | Simisear           |  0.00112% | 17     |  0.050% | 
 | 50   | Salandit           |  0.00092% | 1      |  0.003% | 
 | 51   | Slugma             |  0.00080% | 6      |  0.018% | 
 | 52   | Pignite            |  0.00050% | 6      |  0.018% | 
 | 53   | Charmander         |  0.00022% | 8      |  0.023% | 
 | 54   | Vulpix             |  0.00003% | 4      |  0.012% | 
 | 55   | Quilava            |  0.00001% | 7      |  0.021% | 
 | 56   | Charmeleon         |  0.00000% | 9      |  0.026% | 
 | 57   | Numel              |  0.00000% | 1      |  0.003% | 
 | 58   | Cyndaquil          |  0.00000% | 2      |  0.006% | 
 | 59   | Torracat           |  0.00000% | 1      |  0.003% | 
 + ---- + ------------------ + --------- + ------ + ------- + 
