 Total leads: 610728
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Sableye-Mega       | 35.24108% | 7556   | 26.420% | 
 | 2    | Marowak-Alola      |  7.95250% | 2118   |  7.406% | 
 | 3    | Golurk             |  6.84868% | 1696   |  5.930% | 
 | 4    | Gengar             |  6.00073% | 1757   |  6.143% | 
 | 5    | Mimikyu            |  5.07882% | 1850   |  6.469% | 
 | 6    | Blacephalon        |  4.59056% | 1203   |  4.206% | 
 | 7    | Banette-Mega       |  4.09894% | 1215   |  4.248% | 
 | 8    | Cofagrigus         |  3.83999% | 1276   |  4.462% | 
 | 9    | Froslass           |  3.80351% | 1349   |  4.717% | 
 | 10   | Palossand          |  3.01086% | 1083   |  3.787% | 
 | 11   | Jellicent          |  2.77014% | 848    |  2.965% | 
 | 12   | Chandelure         |  2.30725% | 841    |  2.941% | 
 | 13   | Dusclops           |  1.44734% | 513    |  1.794% | 
 | 14   | Decidueye          |  1.39770% | 404    |  1.413% | 
 | 15   | Dhelmise           |  1.21647% | 407    |  1.423% | 
 | 16   | Hoopa              |  0.99729% | 227    |  0.794% | 
 | 17   | Doublade           |  0.97028% | 321    |  1.122% | 
 | 18   | Trevenant          |  0.89951% | 491    |  1.717% | 
 | 19   | Sableye            |  0.88158% | 338    |  1.182% | 
 | 20   | Dusknoir           |  0.84769% | 462    |  1.615% | 
 | 21   | Shedinja           |  0.79903% | 543    |  1.899% | 
 | 22   | Mimikyu-Totem      |  0.77128% | 272    |  0.951% | 
 | 23   | Gourgeist-Super    |  0.73328% | 202    |  0.706% | 
 | 24   | Spiritomb          |  0.58114% | 337    |  1.178% | 
 | 25   | Marowak-Alola-Totem |  0.53757% | 128    |  0.448% | 
 | 26   | Drifblim           |  0.51504% | 302    |  1.056% | 
 | 27   | Rotom              |  0.46889% | 181    |  0.633% | 
 | 28   | Mismagius          |  0.46113% | 299    |  1.045% | 
 | 29   | Silvally-Ghost     |  0.35051% | 107    |  0.374% | 
 | 30   | Oricorio-Sensu     |  0.19797% | 65     |  0.227% | 
 | 31   | Duskull            |  0.07751% | 16     |  0.056% | 
 | 32   | Gastly             |  0.07434% | 17     |  0.059% | 
 | 33   | Banette            |  0.06158% | 58     |  0.203% | 
 | 34   | Gourgeist-Small    |  0.05239% | 19     |  0.066% | 
 | 35   | Misdreavus         |  0.03475% | 27     |  0.094% | 
 | 36   | Gourgeist          |  0.02876% | 18     |  0.063% | 
 | 37   | Haunter            |  0.02808% | 34     |  0.119% | 
 | 38   | Yamask             |  0.01308% | 3      |  0.010% | 
 | 39   | Pumpkaboo-Super    |  0.00375% | 3      |  0.010% | 
 | 40   | Frillish           |  0.00288% | 4      |  0.014% | 
 | 41   | Honedge            |  0.00274% | 2      |  0.007% | 
 | 42   | Lampent            |  0.00145% | 1      |  0.003% | 
 | 43   | Gourgeist-Large    |  0.00077% | 3      |  0.010% | 
 | 44   | Drifloon           |  0.00063% | 1      |  0.003% | 
 | 45   | Shuppet            |  0.00026% | 2      |  0.007% | 
 | 46   | Pumpkaboo-Small    |  0.00023% | 1      |  0.003% | 
 + ---- + ------------------ + --------- + ------ + ------- + 
