 Total leads: 610728
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Lopunny-Mega       | 22.31019% | 5949   | 13.048% | 
 | 2    | Diggersby          | 17.41779% | 2528   |  5.545% | 
 | 3    | Chansey            | 14.41729% | 5010   | 10.989% | 
 | 4    | Porygon2           |  8.91512% | 1827   |  4.007% | 
 | 5    | Pidgeot-Mega       |  7.58771% | 1260   |  2.764% | 
 | 6    | Staraptor          |  7.47140% | 2162   |  4.742% | 
 | 7    | Smeargle           |  5.92604% | 5143   | 11.280% | 
 | 8    | Ditto              |  3.12982% | 1401   |  3.073% | 
 | 9    | Porygon-Z          |  3.11863% | 2220   |  4.869% | 
 | 10   | Meloetta           |  2.15797% | 826    |  1.812% | 
 | 11   | Swellow            |  1.66316% | 711    |  1.559% | 
 | 12   | Heliolisk          |  0.83362% | 948    |  2.079% | 
 | 13   | Cinccino           |  0.64661% | 1067   |  2.340% | 
 | 14   | Miltank            |  0.53083% | 770    |  1.689% | 
 | 15   | Silvally           |  0.42481% | 349    |  0.765% | 
 | 16   | Bewear             |  0.42036% | 353    |  0.774% | 
 | 17   | Chatot             |  0.36434% | 377    |  0.827% | 
 | 18   | Ambipom            |  0.35870% | 2271   |  4.981% | 
 | 19   | Komala             |  0.25415% | 338    |  0.741% | 
 | 20   | Type: Null         |  0.23489% | 207    |  0.454% | 
 | 21   | Staravia           |  0.22310% | 7      |  0.015% | 
 | 22   | Exploud            |  0.22035% | 616    |  1.351% | 
 | 23   | Blissey            |  0.21413% | 381    |  0.836% | 
 | 24   | Snorlax            |  0.18006% | 1215   |  2.665% | 
 | 25   | Audino-Mega        |  0.16496% | 154    |  0.338% | 
 | 26   | Kecleon            |  0.15037% | 522    |  1.145% | 
 | 27   | Linoone            |  0.12938% | 883    |  1.937% | 
 | 28   | Wigglytuff         |  0.07856% | 362    |  0.794% | 
 | 29   | Ursaring           |  0.06797% | 279    |  0.612% | 
 | 30   | Drampa             |  0.04629% | 318    |  0.697% | 
 | 31   | Pyroar             |  0.04330% | 458    |  1.005% | 
 | 32   | Tauros             |  0.03361% | 332    |  0.728% | 
 | 33   | Bibarel            |  0.03300% | 334    |  0.733% | 
 | 34   | Slaking            |  0.02877% | 332    |  0.728% | 
 | 35   | Lickilicky         |  0.02607% | 153    |  0.336% | 
 | 36   | Furfrou            |  0.01812% | 78     |  0.171% | 
 | 37   | Raticate           |  0.01649% | 88     |  0.193% | 
 | 38   | Braviary           |  0.01530% | 134    |  0.294% | 
 | 39   | Zangoose           |  0.01339% | 314    |  0.689% | 
 | 40   | Furret             |  0.01262% | 78     |  0.171% | 
 | 41   | Dodrio             |  0.01117% | 121    |  0.265% | 
 | 42   | Noctowl            |  0.01095% | 57     |  0.125% | 
 | 43   | Rattata            |  0.00958% | 85     |  0.186% | 
 | 44   | Purugly            |  0.00930% | 162    |  0.355% | 
 | 45   | Kangaskhan         |  0.00783% | 94     |  0.206% | 
 | 46   | Regigigas          |  0.00736% | 196    |  0.430% | 
 | 47   | Lopunny            |  0.00627% | 58     |  0.127% | 
 | 48   | Toucannon          |  0.00603% | 157    |  0.344% | 
 | 49   | Oranguru           |  0.00499% | 142    |  0.311% | 
 | 50   | Sawsbuck           |  0.00476% | 210    |  0.461% | 
 | 51   | Persian            |  0.00407% | 350    |  0.768% | 
 | 52   | Spinda             |  0.00395% | 139    |  0.305% | 
 | 53   | Stoutland          |  0.00251% | 110    |  0.241% | 
 | 54   | Raticate-Alola     |  0.00241% | 77     |  0.169% | 
 | 55   | Porygon            |  0.00235% | 14     |  0.031% | 
 | 56   | Dunsparce          |  0.00142% | 71     |  0.156% | 
 | 57   | Rattata-Alola      |  0.00135% | 16     |  0.035% | 
 | 58   | Eevee              |  0.00106% | 55     |  0.121% | 
 | 59   | Gumshoos           |  0.00065% | 35     |  0.077% | 
 | 60   | Bouffalant         |  0.00059% | 114    |  0.250% | 
 | 61   | Castform           |  0.00043% | 62     |  0.136% | 
