 Total leads: 610728
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Nidoking           | 12.43206% | 4506   | 12.432% | 
 | 2    | Toxapex            | 12.12581% | 4395   | 12.126% | 
 | 3    | Crobat             |  8.76535% | 3177   |  8.765% | 
 | 4    | Nihilego           |  7.36377% | 2669   |  7.364% | 
 | 5    | Muk-Alola          |  6.93337% | 2513   |  6.933% | 
 | 6    | Beedrill-Mega      |  6.44227% | 2335   |  6.442% | 
 | 7    | Venusaur-Mega      |  6.41468% | 2325   |  6.415% | 
 | 8    | Weezing            |  4.27369% | 1549   |  4.274% | 
 | 9    | Salazzle           |  4.21851% | 1529   |  4.219% | 
 | 10   | Ariados            |  3.60050% | 1305   |  3.600% | 
 | 11   | Scolipede          |  3.55359% | 1288   |  3.554% | 
 | 12   | Nidoqueen          |  3.47910% | 1261   |  3.479% | 
 | 13   | Gengar             |  3.20044% | 1160   |  3.200% | 
 | 14   | Tentacruel         |  3.18665% | 1155   |  3.187% | 
 | 15   | Drapion            |  2.36998% | 859    |  2.370% | 
 | 16   | Toxicroak          |  2.16857% | 786    |  2.169% | 
 | 17   | Dragalge           |  1.61953% | 587    |  1.620% | 
 | 18   | Roserade           |  1.53400% | 556    |  1.534% | 
 | 19   | Venomoth           |  1.25259% | 454    |  1.253% | 
 | 20   | Amoonguss          |  1.00152% | 363    |  1.002% | 
 | 21   | Salazzle-Totem     |  0.92702% | 336    |  0.927% | 
 | 22   | Qwilfish           |  0.43316% | 157    |  0.433% | 
 | 23   | Garbodor           |  0.40006% | 145    |  0.400% | 
 | 24   | Arbok              |  0.30073% | 109    |  0.301% | 
 | 25   | Skuntank           |  0.29521% | 107    |  0.295% | 
 | 26   | Golbat             |  0.27038% | 98     |  0.270% | 
 | 27   | Seviper            |  0.18761% | 68     |  0.188% | 
 | 28   | Vileplume          |  0.16830% | 61     |  0.168% | 
 | 29   | Silvally-Poison    |  0.16554% | 60     |  0.166% | 
 | 30   | Venusaur           |  0.15175% | 55     |  0.152% | 
 | 31   | Whirlipede         |  0.13243% | 48     |  0.132% | 
 | 32   | Haunter            |  0.10760% | 39     |  0.108% | 
 | 33   | Muk                |  0.10760% | 39     |  0.108% | 
 | 34   | Roselia            |  0.08829% | 32     |  0.088% | 
 | 35   | Victreebel         |  0.08553% | 31     |  0.086% | 
 | 36   | Swalot             |  0.07173% | 26     |  0.072% | 
 | 37   | Poipole            |  0.03311% | 12     |  0.033% | 
 | 38   | Dustox             |  0.02483% | 9      |  0.025% | 
 | 39   | Beedrill           |  0.01655% | 6      |  0.017% | 
 | 40   | Gloom              |  0.01655% | 6      |  0.017% | 
 | 41   | Tentacool          |  0.01380% | 5      |  0.014% | 
 | 42   | Bulbasaur          |  0.01104% | 4      |  0.011% | 
 | 43   | Gastly             |  0.01104% | 4      |  0.011% | 
 | 44   | Spinarak           |  0.01104% | 4      |  0.011% | 
 | 45   | Koffing            |  0.00828% | 3      |  0.008% | 
 | 46   | Skorupi            |  0.00828% | 3      |  0.008% | 
 | 47   | Grimer-Alola       |  0.00276% | 1      |  0.003% | 
 | 48   | Gulpin             |  0.00276% | 1      |  0.003% | 
 | 49   | NidoranM           |  0.00276% | 1      |  0.003% | 
 | 50   | Nidorina           |  0.00276% | 1      |  0.003% | 
 | 51   | Skrelp             |  0.00276% | 1      |  0.003% | 
 | 52   | Zubat              |  0.00276% | 1      |  0.003% | 
 + ---- + ------------------ + --------- + ------ + ------- + 
