 Total leads: 610728
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Shuckle            | 27.75208% | 4005   | 18.716% | 
 | 2    | Diancie-Mega       | 22.87793% | 2706   | 12.645% | 
 | 3    | Tyranitar          | 15.18671% | 1764   |  8.243% | 
 | 4    | Aerodactyl         |  6.08920% | 328    |  1.533% | 
 | 5    | Golem-Alola        |  3.38335% | 820    |  3.832% | 
 | 6    | Nihilego           |  3.05189% | 721    |  3.369% | 
 | 7    | Gigalith           |  2.86727% | 1591   |  7.435% | 
 | 8    | Terrakion          |  2.85988% | 527    |  2.463% | 
 | 9    | Cradily            |  2.81400% | 828    |  3.869% | 
 | 10   | Carbink            |  2.70802% | 240    |  1.122% | 
 | 11   | Omastar            |  1.42023% | 667    |  3.117% | 
 | 12   | Archeops           |  1.36469% | 334    |  1.561% | 
 | 13   | Barbaracle         |  1.08192% | 211    |  0.986% | 
 | 14   | Tyranitar-Mega     |  0.90802% | 511    |  2.388% | 
 | 15   | Minior             |  0.69582% | 402    |  1.879% | 
 | 16   | Aerodactyl-Mega    |  0.67832% | 540    |  2.523% | 
 | 17   | Rhyperior          |  0.65603% | 534    |  2.495% | 
 | 18   | Lycanroc-Dusk      |  0.61688% | 388    |  1.813% | 
 | 19   | Stakataka          |  0.55919% | 447    |  2.089% | 
 | 20   | Diancie            |  0.42402% | 192    |  0.897% | 
 | 21   | Aggron             |  0.39097% | 194    |  0.907% | 
 | 22   | Probopass          |  0.30395% | 179    |  0.836% | 
 | 23   | Carracosta         |  0.21412% | 214    |  1.000% | 
 | 24   | Tyrantrum          |  0.19392% | 307    |  1.435% | 
 | 25   | Aurorus            |  0.18818% | 239    |  1.117% | 
 | 26   | Magcargo           |  0.14054% | 416    |  1.944% | 
 | 27   | Nosepass           |  0.13508% | 96     |  0.449% | 
 | 28   | Bastiodon          |  0.09779% | 243    |  1.136% | 
 | 29   | Lunatone           |  0.08285% | 149    |  0.696% | 
 | 30   | Rhydon             |  0.04199% | 71     |  0.332% | 
 | 31   | Kabutops           |  0.03953% | 94     |  0.439% | 
 | 32   | Armaldo            |  0.02973% | 180    |  0.841% | 
 | 33   | Relicanth          |  0.02588% | 40     |  0.187% | 
 | 34   | Golem              |  0.02502% | 157    |  0.734% | 
 | 35   | Rampardos          |  0.02329% | 187    |  0.874% | 
 | 36   | Crustle            |  0.02086% | 158    |  0.738% | 
 | 37   | Lycanroc           |  0.01722% | 103    |  0.481% | 
 | 38   | Sudowoodo          |  0.01475% | 96     |  0.449% | 
 | 39   | Solrock            |  0.00737% | 145    |  0.678% | 
 | 40   | Corsola            |  0.00278% | 29     |  0.136% | 
 | 41   | Regirock           |  0.00259% | 102    |  0.477% | 
 | 42   | Onix               |  0.00255% | 81     |  0.379% | 
 | 43   | Omanyte            |  0.00160% | 12     |  0.056% | 
 | 44   | Graveler-Alola     |  0.00093% | 7      |  0.033% | 
 | 45   | Lycanroc-Midnight  |  0.00053% | 49     |  0.229% | 
 | 46   | Lileep             |  0.00024% | 4      |  0.019% | 
 | 47   | Aron               |  0.00017% | 34     |  0.159% | 
 | 48   | Silvally-Rock      |  0.00006% | 16     |  0.075% | 
 | 49   | Shieldon           |  0.00002% | 4      |  0.019% | 
 | 50   | Dwebble            |  0.00002% | 1      |  0.005% | 
 | 51   | Lairon             |  0.00000% | 20     |  0.093% | 
 | 52   | Graveler           |  0.00000% | 4      |  0.019% | 
 | 53   | Bonsly             |  0.00000% | 1      |  0.005% | 
 | 54   | Anorith            |  0.00000% | 4      |  0.019% | 
 | 55   | Aggron-Mega        |  0.00000% | 1      |  0.005% | 
 | 56   | Geodude            |  0.00000% | 1      |  0.005% | 
 | 57   | Pupitar            |  0.00000% | 5      |  0.023% | 
 + ---- + ------------------ + --------- + ------ + ------- + 
