 Total leads: 610728
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Pelipper           | 26.94443% | 14363  | 26.944% | 
 | 2    | Politoed           |  6.56774% | 3501   |  6.568% | 
 | 3    | Greninja           |  6.50959% | 3470   |  6.510% | 
 | 4    | Toxapex            |  4.95254% | 2640   |  4.953% | 
 | 5    | Rotom-Wash         |  4.26031% | 2271   |  4.260% | 
 | 6    | Cloyster           |  4.04457% | 2156   |  4.045% | 
 | 7    | Swampert-Mega      |  3.55495% | 1895   |  3.555% | 
 | 8    | Azumarill          |  3.14411% | 1676   |  3.144% | 
 | 9    | Swampert           |  2.94714% | 1571   |  2.947% | 
 | 10   | Empoleon           |  2.91524% | 1554   |  2.915% | 
 | 11   | Keldeo             |  2.07857% | 1108   |  2.079% | 
 | 12   | Araquanid          |  1.82719% | 974    |  1.827% | 
 | 13   | Tentacruel         |  1.67148% | 891    |  1.671% | 
 | 14   | Gyarados-Mega      |  1.61145% | 859    |  1.611% | 
 | 15   | Volcanion          |  1.47826% | 788    |  1.478% | 
 | 16   | Tapu Fini          |  1.44824% | 772    |  1.448% | 
 | 17   | Gyarados           |  1.43136% | 763    |  1.431% | 
 | 18   | Seismitoad         |  1.40697% | 750    |  1.407% | 
 | 19   | Ludicolo           |  1.36758% | 729    |  1.368% | 
 | 20   | Lanturn            |  1.28691% | 686    |  1.287% | 
 | 21   | Starmie            |  1.10119% | 587    |  1.101% | 
 | 22   | Manaphy            |  1.00552% | 536    |  1.006% | 
 | 23   | Kingdra            |  0.97550% | 520    |  0.975% | 
 | 24   | Sharpedo-Mega      |  0.82730% | 441    |  0.827% | 
 | 25   | Crawdaunt          |  0.69598% | 371    |  0.696% | 
 | 26   | Golisopod          |  0.67910% | 362    |  0.679% | 
 | 27   | Gastrodon          |  0.67347% | 359    |  0.673% | 
 | 28   | Vaporeon           |  0.64345% | 343    |  0.643% | 
 | 29   | Milotic            |  0.59656% | 318    |  0.597% | 
 | 30   | Blastoise-Mega     |  0.59093% | 315    |  0.591% | 
 | 31   | Quagsire           |  0.56279% | 300    |  0.563% | 
 | 32   | Wishiwashi         |  0.55716% | 297    |  0.557% | 
 | 33   | Lapras             |  0.51964% | 277    |  0.520% | 
 | 34   | Feraligatr         |  0.50276% | 268    |  0.503% | 
 | 35   | Suicune            |  0.46524% | 248    |  0.465% | 
 | 36   | Pyukumuku          |  0.44835% | 239    |  0.448% | 
 | 37   | Mantine            |  0.43335% | 231    |  0.433% | 
 | 38   | Qwilfish           |  0.42772% | 228    |  0.428% | 
 | 39   | Primarina          |  0.39770% | 212    |  0.398% | 
 | 40   | Slowbro-Mega       |  0.38082% | 203    |  0.381% | 
 | 41   | Slowbro            |  0.37332% | 199    |  0.373% | 
 | 42   | Jellicent          |  0.36769% | 196    |  0.368% | 
 | 43   | Kabutops           |  0.31141% | 166    |  0.311% | 
 | 44   | Omastar            |  0.30015% | 160    |  0.300% | 
 | 45   | Sharpedo           |  0.29828% | 159    |  0.298% | 
 | 46   | Floatzel           |  0.27764% | 148    |  0.278% | 
 | 47   | Slowking           |  0.24387% | 130    |  0.244% | 
 | 48   | Carracosta         |  0.24200% | 129    |  0.242% | 
 | 49   | Alomomola          |  0.24012% | 128    |  0.240% | 
 | 50   | Poliwrath          |  0.22136% | 118    |  0.221% | 
 | 51   | Blastoise          |  0.21574% | 115    |  0.216% | 
 | 52   | Clawitzer          |  0.18760% | 100    |  0.188% | 
 | 53   | Golduck            |  0.17634% | 94     |  0.176% | 
 | 54   | Kingler            |  0.17071% | 91     |  0.171% | 
 | 55   | Barbaracle         |  0.15758% | 84     |  0.158% | 
 | 56   | Seaking            |  0.14820% | 79     |  0.148% | 
 | 57   | Bibarel            |  0.14632% | 78     |  0.146% | 
 | 58   | Samurott           |  0.14257% | 76     |  0.143% | 
 | 59   | Wailord            |  0.12569% | 67     |  0.126% | 
 | 60   | Whiscash           |  0.12006% | 64     |  0.120% | 
 | 61   | Corsola            |  0.11068% | 59     |  0.111% | 
 | 62   | Walrein            |  0.11068% | 59     |  0.111% | 
 | 63   | Bruxish            |  0.10318% | 55     |  0.103% | 
 | 64   | Tentacool          |  0.10318% | 55     |  0.103% | 
 | 65   | Araquanid-Totem    |  0.09943% | 53     |  0.099% | 
 | 66   | Gorebyss           |  0.08817% | 47     |  0.088% | 
 | 67   | Relicanth          |  0.08629% | 46     |  0.086% | 
